Day,Time_Segment,Accidents,Week_day,Day_month,Month,Exceeds Threshold,Holiday,Vacation_week,Weekend Return,Season
2023-01-01,2-6,0,Sunday,1,1,0,Yes,1,Yes,Winter
2023-01-01,6-10,0,Sunday,1,1,0,Yes,1,Yes,Winter
2023-01-01,10-14,1,Sunday,1,1,0,Yes,1,Yes,Winter
2023-01-01,14-18,3,Sunday,1,1,0,Yes,1,Yes,Winter
2023-01-01,18-22,2,Sunday,1,1,0,Yes,1,Yes,Winter
2023-01-01,22-2,0,Sunday,1,1,0,Yes,1,Yes,Winter
2023-01-02,2-6,0,Monday,2,1,0,No,1,No,Winter
2023-01-02,6-10,8,Monday,2,1,1,No,1,No,Winter
2023-01-02,10-14,9,Monday,2,1,1,No,1,No,Winter
2023-01-02,14-18,3,Monday,2,1,0,No,1,No,Winter
2023-01-02,18-22,13,Monday,2,1,1,No,1,No,Winter
2023-01-02,22-2,5,Monday,2,1,1,No,1,No,Winter
2023-01-03,2-6,0,Tuesday,3,1,0,No,1,No,Winter
2023-01-03,6-10,3,Tuesday,3,1,0,No,1,No,Winter
2023-01-03,10-14,3,Tuesday,3,1,0,No,1,No,Winter
2023-01-03,14-18,7,Tuesday,3,1,1,No,1,No,Winter
2023-01-03,18-22,8,Tuesday,3,1,1,No,1,No,Winter
2023-01-03,22-2,0,Tuesday,3,1,0,No,1,No,Winter
2023-01-04,2-6,0,Wednesday,4,1,0,No,1,No,Winter
2023-01-04,6-10,0,Wednesday,4,1,0,No,1,No,Winter
2023-01-04,10-14,4,Wednesday,4,1,1,No,1,No,Winter
2023-01-04,14-18,5,Wednesday,4,1,1,No,1,No,Winter
2023-01-04,18-22,9,Wednesday,4,1,1,No,1,No,Winter
2023-01-04,22-2,0,Wednesday,4,1,0,No,1,No,Winter
2023-01-05,2-6,0,Thursday,5,1,0,No,1,No,Winter
2023-01-05,6-10,5,Thursday,5,1,1,No,1,No,Winter
2023-01-05,10-14,7,Thursday,5,1,1,No,1,No,Winter
2023-01-05,14-18,3,Thursday,5,1,0,No,1,No,Winter
2023-01-05,18-22,3,Thursday,5,1,0,No,1,No,Winter
2023-01-05,22-2,4,Thursday,5,1,1,No,1,No,Winter
2023-01-06,2-6,0,Friday,6,1,0,No,1,No,Winter
2023-01-06,6-10,2,Friday,6,1,0,No,1,No,Winter
2023-01-06,10-14,4,Friday,6,1,1,No,1,No,Winter
2023-01-06,14-18,5,Friday,6,1,1,No,1,No,Winter
2023-01-06,18-22,4,Friday,6,1,1,No,1,No,Winter
2023-01-06,22-2,4,Friday,6,1,1,No,1,No,Winter
2023-01-07,2-6,0,Saturday,7,1,0,Yes,1,No,Winter
2023-01-07,6-10,1,Saturday,7,1,0,Yes,1,No,Winter
2023-01-07,10-14,9,Saturday,7,1,1,Yes,1,No,Winter
2023-01-07,14-18,4,Saturday,7,1,1,Yes,1,No,Winter
2023-01-07,18-22,1,Saturday,7,1,0,Yes,1,No,Winter
2023-01-07,22-2,3,Saturday,7,1,0,Yes,1,No,Winter
2023-01-08,2-6,0,Sunday,8,1,0,Yes,1,Yes,Winter
2023-01-08,6-10,1,Sunday,8,1,0,Yes,1,Yes,Winter
2023-01-08,10-14,4,Sunday,8,1,1,Yes,1,Yes,Winter
2023-01-08,14-18,2,Sunday,8,1,0,Yes,1,Yes,Winter
2023-01-08,18-22,2,Sunday,8,1,0,Yes,1,Yes,Winter
2023-01-08,22-2,2,Sunday,8,1,0,Yes,1,Yes,Winter
2023-01-09,2-6,0,Monday,9,1,0,No,0,No,Winter
2023-01-09,6-10,3,Monday,9,1,0,No,0,No,Winter
2023-01-09,10-14,4,Monday,9,1,1,No,0,No,Winter
