Day,Time_Segment,Accidents,Week_day,Day_month,Month,TM,PPT,VVM10,Exceeds Threshold,Holiday,Vacation_week,Weekend Return,Season
2021-01-01,2-6,0,Friday,1,1,Low,Low,Medium,0,No,1,No,Winter
2021-01-01,6-10,0,Friday,1,1,Low,Low,Medium,0,No,1,No,Winter
2021-01-01,10-14,5,Friday,1,1,Low,Low,Medium,1,No,1,No,Winter
2021-01-01,14-18,0,Friday,1,1,Low,Low,Medium,0,No,1,No,Winter
2021-01-01,18-22,7,Friday,1,1,Low,Low,Medium,1,No,1,No,Winter
2021-01-01,22-2,2,Friday,1,1,Low,Low,Medium,0,No,1,No,Winter
2021-01-02,2-6,0,Saturday,2,1,Low,None,Medium,0,Yes,1,No,Winter
2021-01-02,6-10,2,Saturday,2,1,Low,None,Medium,0,Yes,1,No,Winter
2021-01-02,10-14,5,Saturday,2,1,Low,None,Medium,1,Yes,1,No,Winter
2021-01-02,14-18,6,Saturday,2,1,Low,None,Medium,1,Yes,1,No,Winter
2021-01-02,18-22,5,Saturday,2,1,Low,None,Medium,1,Yes,1,No,Winter
2021-01-02,22-2,1,Saturday,2,1,Low,None,Medium,0,Yes,1,No,Winter
2021-01-03,2-6,0,Sunday,3,1,Low,None,High,0,Yes,1,Yes,Winter
2021-01-03,6-10,0,Sunday,3,1,Low,None,High,0,Yes,1,Yes,Winter
2021-01-03,10-14,7,Sunday,3,1,Low,None,High,1,Yes,1,Yes,Winter
2021-01-03,14-18,6,Sunday,3,1,Low,None,High,1,Yes,1,Yes,Winter
2021-01-03,18-22,5,Sunday,3,1,Low,None,High,1,Yes,1,Yes,Winter
2021-01-03,22-2,0,Sunday,3,1,Low,None,High,0,Yes,1,Yes,Winter
2021-01-04,2-6,0,Monday,4,1,Low,None,High,0,No,1,No,Winter
2021-01-04,6-10,1,Monday,4,1,Low,None,High,0,No,1,No,Winter
2021-01-04,10-14,7,Monday,4,1,Low,None,High,1,No,1,No,Winter
2021-01-04,14-18,7,Monday,4,1,Low,None,High,1,No,1,No,Winter
2021-01-04,18-22,1,Monday,4,1,Low,None,High,0,No,1,No,Winter
2021-01-04,22-2,0,Monday,4,1,Low,None,High,0,No,1,No,Winter
2021-01-05,2-6,0,Tuesday,5,1,Low,None,Medium,0,No,1,No,Winter
2021-01-05,6-10,0,Tuesday,5,1,Low,None,Medium,0,No,1,No,Winter
2021-01-05,10-14,11,Tuesday,5,1,Low,None,Medium,1,No,1,No,Winter
2021-01-05,14-18,13,Tuesday,5,1,Low,None,Medium,1,No,1,No,Winter
