Numero_Expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_ Any,Mes_ any,Nom_mes,Dia_mes,Descripcio_torn,Hora_dia,Descripcio_causa_vianant,Desc_Tipus_vehicle_implicat,Descripció_sexe,Edat,Descripció_tipus_persona,Descripcio_Lloc_atropellament_vianat,Descripcio_Motiu_desplaÃ§ament_vianant,Descripcio_Motiu_desplaÃ§ament_conductor,Descripcio_victimitzacio,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84,Dia
2021S000004    ,2,Eixample,5,el Fort Pienc,144601,Diagonal,0223 0223,Divendres,2021,1,Gener,1,Tarda,20,No és causa del  vianant,Turisme,Dona,58,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431842.55,4583943.06,2.183.481.164,41.402.293.911,1/01/2021
2021S000004    ,2,Eixample,5,el Fort Pienc,144601,Diagonal,0223 0223,Divendres,2021,1,Gener,1,Tarda,20,No és causa del  vianant,Turisme,Dona,65,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431842.55,4583943.06,2.183.481.164,41.402.293.911,1/01/2021
2021S000004    ,2,Eixample,5,el Fort Pienc,144601,Diagonal,0223 0223,Divendres,2021,1,Gener,1,Tarda,20,No és causa del  vianant,Turisme,Home,40,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431842.55,4583943.06,2.183.481.164,41.402.293.911,1/01/2021
2021S000004    ,2,Eixample,5,el Fort Pienc,144601,Diagonal,0223 0223,Divendres,2021,1,Gener,1,Tarda,20,No és causa del  vianant,Turisme,Home,71,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431842.55,4583943.06,2.183.481.164,41.402.293.911,1/01/2021
2021S000002    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0218 0218,Divendres,2021,1,Gener,1,Matí,12,No és causa del  vianant,Turisme,Dona,49,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,429870.60,4582413.71,2.160.069.561,41.388.349.885,1/01/2021
2021S000002    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0218 0218,Divendres,2021,1,Gener,1,Matí,12,No és causa del  vianant,Ciclomotor,Home,50,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,429870.60,4582413.71,2.160.069.561,41.388.349.885,1/01/2021
2021S000002    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0218 0218,Divendres,2021,1,Gener,1,Matí,12,No és causa del  vianant,Turisme,Home,21,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,429870.60,4582413.71,2.160.069.561,41.388.349.885,1/01/2021
2021S000002    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0218 0218,Divendres,2021,1,Gener,1,Matí,12,No és causa del  vianant,Turisme,Home,56,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,429870.60,4582413.71,2.160.069.561,41.388.349.885,1/01/2021
2021S000001    ,4,Les Corts,21,Pedralbes,52707,Cavallers,0038A0038A,Divendres,2021,1,Gener,1,Nit,0,No és causa del  vianant,Motocicleta,Home,24,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,425831.62,4582698.55,2.111.730.514,41.390.552.843,1/01/2021
2021S000001    ,4,Les Corts,21,Pedralbes,52707,Cavallers,0038A0038A,Divendres,2021,1,Gener,1,Nit,0,No és causa del  vianant,Turisme,Home,24,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,425831.62,4582698.55,2.111.730.514,41.390.552.843,1/01/2021
