DATA,TM,TX,TN,HRM,HRX,HRN,PM,PX,PN,PPT,RS24h,VVM10,DVM10,VVX10,DVVX10
01/01/2021,"8,9","10,3",7,61,66,53,1001,"1002,5","999,6","0,1","1,5","1,9",332,"11,5",306
02/01/2021,"7,4","10,7","4,3",55,65,43,"1001,9","1004,4","1000,5",0,7,"1,7",318,"7,2",311
03/01/2021,"6,7","9,8","4,4",44,62,31,"1005,8","1007,3","1004,2",0,"8,5","2,1",307,"10,6",310
04/01/2021,7,11,"4,5",53,65,33,"1005,2","1006,7","1002,7",0,"8,9","2,4",320,"8,9",285
05/01/2021,"6,2","9,4","4,1",59,71,45,"1006,4","1008,3","1004,7",0,"7,4","1,6",307,"6,1",321
06/01/2021,"6,5","9,9","3,6",61,68,50,1010,1012,1008,0,"7,4","1,3",4,"5,7",3
07/01/2021,"6,5","7,7","5,2",64,84,52,"1009,8",1011,"1007,7","1,6","3,3","1,5",28,"5,7",96
08/01/2021,6,"8,3","3,7",53,67,35,"1008,7","1010,9","1005,7",0,"5,5","1,3",9,"8,6",59
09/01/2021,"6,8","8,1","4,4",72,96,41,"1002,9","1005,8","1000,3",20,"1,2","4,2",51,"14,9",53
10/01/2021,"7,5","8,5","6,1",68,80,57,"1007,1","1012,6","1001,8","5,2","1,3","2,1",24,"12,1",42
11/01/2021,6,"9,8","3,6",62,73,50,"1015,5","1018,8","1012,3",0,"9,2","1,7",312,"8,7",307
12/01/2021,"6,3","10,6","3,6",50,61,35,"1020,2","1022,4","1018,2",0,"9,8","1,9",280,"8,4",6
13/01/2021,"8,6","13,1","4,7",56,67,41,"1021,2","1022,4","1020,5",0,"9,9","1,9",279,"9,1",325
14/01/2021,"8,5","12,6","6,2",61,72,45,"1018,5","1020,9","1016,5",0,"10,1","1,8",318,"9,2",324
15/01/2021,"9,2","13,7",6,63,82,38,"1016,4","1017,5","1015,4",0,"7,8","1,5",329,"7,8",345
16/01/2021,"9,6","14,2","6,4",56,78,38,"1020,2",1022,"1016,9",0,"9,9","1,7",296,9,297
17/01/2021,"11,7","17,3","8,3",52,77,31,"1018,6","1021,8",1016,0,"10,2","1,6",8,"9,4",298
18/01/2021,"10,9","13,5","8,5",73,80,56,"1022,5","1024,1","1021,1",0,"4,5","0,9",289,"4,7",230
19/01/2021,"11,5","15,3","8,6",73,84,59,"1019,5","1022,9","1015,7",0,"9,5",2,268,"8,9",233
