Numero_expedient,Descripcio_causa_mediata
2021S000001    ,No hi ha causa mediata
2021S000005    ,No hi ha causa mediata
2021S000002    ,Alcoholèmia
2021S000004    ,No hi ha causa mediata
2021S000003    ,Alcoholèmia
2021S000021    ,No hi ha causa mediata
2021S000022    ,No hi ha causa mediata
2021S000014    ,No hi ha causa mediata
2021S000009    ,No hi ha causa mediata
2021S000007    ,No hi ha causa mediata
2021S000015    ,Estat de la senyalització
2021S000013    ,Alcoholèmia
2021S000020    ,No hi ha causa mediata
2021S000023    ,No hi ha causa mediata
2021S000019    ,No hi ha causa mediata
2021S000016    ,No hi ha causa mediata
2021S000006    ,No hi ha causa mediata
2021S000012    ,No hi ha causa mediata
2021S000010    ,No hi ha causa mediata
2021S000017    ,No hi ha causa mediata
2021S000011    ,No hi ha causa mediata
2021S000008    ,No hi ha causa mediata
2021S000018    ,No hi ha causa mediata
2021S000024    ,No hi ha causa mediata
2021S000038    ,No hi ha causa mediata
2021S000034    ,Factors meteorològics
2021S000028    ,No hi ha causa mediata
2021S000036    ,No hi ha causa mediata
2021S000031    ,No hi ha causa mediata
2021S000041    ,No hi ha causa mediata
2021S000032    ,No hi ha causa mediata
2021S000029    ,No hi ha causa mediata
2021S000039    ,No hi ha causa mediata
2021S000040    ,No hi ha causa mediata
2021S000025    ,No hi ha causa mediata
2021S000027    ,No hi ha causa mediata
2021S000037    ,No hi ha causa mediata
2021S000035    ,Alcoholèmia
2021S000033    ,No hi ha causa mediata
2021S000026    ,No hi ha causa mediata
2021S000030    ,No hi ha causa mediata
2021S000051    ,No hi ha causa mediata
2021S000071    ,No hi ha causa mediata
2021S000048    ,No hi ha causa mediata
2021S000042    ,No hi ha causa mediata
2021S000049    ,No hi ha causa mediata
2021S000063    ,No hi ha causa mediata
2021S000046    ,No hi ha causa mediata
2021S000044    ,No hi ha causa mediata
2021S000052    ,No hi ha causa mediata
2021S000043    ,No hi ha causa mediata
2021S000045    ,No hi ha causa mediata
2021S000050    ,No hi ha causa mediata
2021S000047    ,No hi ha causa mediata
2021S000053    ,No hi ha causa mediata
2021S000057    ,No hi ha causa mediata
2021S000070    ,No hi ha causa mediata
2021S000055    ,Objectes o animals a la calçada
2021S000066    ,No hi ha causa mediata
2021S000062    ,No hi ha causa mediata
2021S000060    ,No hi ha causa mediata
2021S000065    ,No hi ha causa mediata
2021S000059    ,No hi ha causa mediata
2021S000069    ,No hi ha causa mediata
2021S000064    ,No hi ha causa mediata
2021S000058    ,No hi ha causa mediata
2021S000054    ,No hi ha causa mediata
2021S000068    ,No hi ha causa mediata
2021S000061    ,No hi ha causa mediata
2021S000067    ,No hi ha causa mediata
2021S000056    ,No hi ha causa mediata
2021S000076    ,No hi ha causa mediata
2021S000077    ,No hi ha causa mediata
2021S000073    ,No hi ha causa mediata
2021S000075    ,No hi ha causa mediata
2021S000074    ,No hi ha causa mediata
2021S000072    ,No hi ha causa mediata
2021S000091    ,No hi ha causa mediata
2021S000088    ,No hi ha causa mediata
2021S000092    ,No hi ha causa mediata
2021S000096    ,No hi ha causa mediata
2021S000089    ,No hi ha causa mediata
2021S000085    ,No hi ha causa mediata
2021S000083    ,No hi ha causa mediata
2021S000081    ,No hi ha causa mediata
2021S000090    ,No hi ha causa mediata
2021S000093    ,No hi ha causa mediata
2021S000079    ,No hi ha causa mediata
2021S000084    ,No hi ha causa mediata
2021S000087    ,No hi ha causa mediata
2021S000086    ,No hi ha causa mediata
2021S000080    ,No hi ha causa mediata
2021S000078    ,Drogues o medicaments
2021S000082    ,No hi ha causa mediata
2021S000095    ,No hi ha causa mediata
2021S000100    ,No hi ha causa mediata
2021S000119    ,No hi ha causa mediata
2021S000108    ,No hi ha causa mediata
2021S000111    ,No hi ha causa mediata
2021S000097    ,No hi ha causa mediata
2021S000118    ,No hi ha causa mediata
2021S000094    ,No hi ha causa mediata
2021S000107    ,No hi ha causa mediata
2021S000117    ,No hi ha causa mediata
2021S000114    ,Alcoholèmia
2021S000116    ,No hi ha causa mediata
2021S000113    ,No hi ha causa mediata
2021S000109    ,No hi ha causa mediata
2021S000120    ,No hi ha causa mediata
2021S000106    ,No hi ha causa mediata
2021S000103    ,No hi ha causa mediata
2021S000121    ,No hi ha causa mediata
2021S000110    ,No hi ha causa mediata
2021S000101    ,No hi ha causa mediata
2021S000098    ,No hi ha causa mediata
2021S000123    ,No hi ha causa mediata
2021S000102    ,No hi ha causa mediata
2021S000105    ,Alcoholèmia
2021S000122    ,No hi ha causa mediata
2021S000104    ,No hi ha causa mediata
2021S000115    ,No hi ha causa mediata
2021S000112    ,No hi ha causa mediata
2021S000099    ,No hi ha causa mediata
2021S000125    ,No hi ha causa mediata
2021S000129    ,No hi ha causa mediata
2021S000130    ,No hi ha causa mediata
