Case_number,Type_of_vehicle,License type,Age license
2021S001766    ,Motorcycle,B,0
2021S007215    ,Van,B,0
2022S001354    ,Motorcycle,A,0
2022S000076    ,Tourism,B,0
2021S003060    ,Motorcycle,A,0
2021S006310    ,Ciclomotor,B,0
2021S004319    ,Tourism,B,0
2022S002249    ,Tourism,B,0
2022S004700    ,Tourism,B,0
2021S004546    ,Ciclomotor,B,0
2021S006191    ,Tourism,B,0
2022S002570    ,Tourism,B,0
2021S002329    ,Ciclomotor,B,0
2021S004206    ,Motorcycle,A,0
2022S007830    ,Tourism,B,0
2022S001885    ,Tourism,B,0
2021S001720    ,Tourism,B,0
2021S003888    ,Tourism,B,0
2022S001087    ,Tourism,B,0
2021S003359    ,Rigid truck <= 3.5 tonnes,B,0
2022S003117    ,Motorcycle,A2,0
2021S000927    ,Ciclomotor,B,0
2021S003513    ,Tourism,B,0
2021S003077    ,Tourism,B,0
2022S003325    ,Bicycle,B,0
2022S006069    ,Ciclomotor,B,0
2021S000966    ,Tourism,B,0
2022S003684    ,Van,B,0
2022S001728    ,Tourism,B,0
2021S000456    ,Rigid truck > 3.5 tonnes,C,0
2021S003643    ,Ciclomotor,B,0
2022S007220    ,Motorcycle,B,0
2021S003670    ,Tourism,B,0
2022S005965    ,Motorcycle,B,0
2022S002979    ,Motorcycle,B,0
2021S003093    ,Tourism,B,0
2022S000811    ,Tourism,B,0
2022S006022    ,Tourism,B,0
2022S000727    ,Motorcycle,A2,0
2022S006142    ,Motorcycle,A,0
2021S005368    ,Motorcycle,A1,0
2022S005194    ,Van,B,0
2021S006515    ,Tourism,B,0
2022S002075    ,Motorcycle,A2,0
2022S005641    ,Motorcycle,B,0
2021S007148    ,Tourism,B,0
2021S004882    ,Ciclomotor,B,0
2021S001833    ,Tourism,B,0
2021S000901    ,Ciclomotor,A,0
2022S007369    ,Tourism,B,0
2021S001484    ,Ciclomotor,B,0
2021S005243    ,Tourism,B,0
2022S002733    ,Ciclomotor,B,0
2021S006600    ,Tourism,B,0
2021S001307    ,Tourism,B,0
2021S003285    ,Motorcycle,B,0
2022S005737    ,Tourism,B,0
2021S000717    ,Tourism,B,0
