Case_number,District_code,Neighborhood_code,Neighborhood_name,Street_code,Street_name,Time,Pedestrian_cause,Coordinate_UTM_X_ED50 ,Coordinate_UTM_Y_ED50,Longitude,Latitude,Day,Holiday,Time_segment,Numero_expedient_count,Weekend Exit,Season,TM,PPT,VVM10,Weekend Return,Number of accidents by time segment
2021S000001    ,4,21,Pedralbes,52707,Cavallers,0,Not pedestrian´s fault,425831.62,4582698.55,2.111.730.514,41.390.552.843,01/01/2021,Yes,22-2,2,True,Winter,8.9,0.1,1.9,No,1
2021S000002    ,2,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,12,Not pedestrian´s fault,429870.6,4582413.71,2.160.069.561,41.388.349.885,01/01/2021,Yes,10-14,4,True,Winter,8.9,0.1,1.9,No,2
2021S000005    ,6,32,el Camp d'en Grassot i Gràcia Nova,76807,Sardenya,12,Not pedestrian´s fault,430801.33,4584254.22,2.170.990.289,41.405.007.434,01/01/2021,Yes,10-14,1,True,Winter,8.9,0.1,1.9,No,2
2021S000003    ,9,57,la Trinitat Vella,701431,C-17 (Puigcerdà),18,Not pedestrian´s fault,432344.0,4589744.92,2.188.829.952,41.454.591.771,01/01/2021,Yes,14-18,3,True,Winter,8.9,0.1,1.9,No,2
2021S000004    ,2,5,el Fort Pienc,144601,Diagonal,20,Not pedestrian´s fault,431842.55,4583943.06,2.183.481.164,41.402.293.911,01/01/2021,Yes,14-18,4,True,Winter,8.9,0.1,1.9,No,2
2021S000006    ,7,41,la Vall d'Hebron,700812,Can Marcet,8,Not pedestrian´s fault,429225.27,4587490.96,2.151.757.474,41.434.022.194,02/01/2021,Yes,6-10,1,False,Winter,7.4,0.0,1.7,No,2
2021S000007    ,3,18,Sants,700445,Països Catalans,9,Not pedestrian´s fault,428267.22,4581461.2,2.141.006.672,41.379.629.509,02/01/2021,Yes,6-10,1,False,Winter,7.4,0.0,1.7,No,2
2021S000009    ,2,7,la Dreta de l'Eixample,74506,Catalunya,11,Not pedestrian´s fault,430167.5,4582680.02,2.163.589.650,41.390.774.299,02/01/2021,Yes,10-14,2,False,Winter,7.4,0.0,1.7,No,4
2021S000010    ,3,15,Hostafrancs,169409,Corts Catalanes,11,Not pedestrian´s fault,428699.37,4580743.38,2.146.258.787,41.373.202.779,02/01/2021,Yes,10-14,1,False,Winter,7.4,0.0,1.7,No,4
2021S000008    ,5,26,Sant Gervasi - Galvany,223606,Muntaner,11,Not pedestrian´s fault,428513.62,4583538.11,2.143.707.875,41.398.357.421,02/01/2021,Yes,10-14,1,False,Winter,7.4,0.0,1.7,No,4
2021S000012    ,2,7,la Dreta de l'Eixample,169409,Corts Catalanes,13,Not pedestrian´s fault,430250.16,4582188.77,2.164.634.864,41.386.356.942,02/01/2021,Yes,10-14,1,False,Winter,7.4,0.0,1.7,No,4
2021S000014    ,2,8,l'Antiga Esquerra de l'Eixample,169409,Corts Catalanes,14,Not pedestrian´s fault,430197.26,4582210.36,2.163.999.731,41.386.546.805,02/01/2021,Yes,18-22,1,False,Winter,7.4,0.0,1.7,No,5
2021S000016    ,2,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,15,Not pedestrian´s fault,429949.89,4582312.04,2.161.029.601,41.387.441.089,02/01/2021,Yes,18-22,1,False,Winter,7.4,0.0,1.7,No,5
2021S000015    ,10,70,el Besòs i el Maresme,195409,Maresme,15,Not pedestrian´s fault,434119.48,4585484.33,2.210.550.552,41.416.365.665,02/01/2021,Yes,18-22,1,False,Winter,7.4,0.0,1.7,No,5
2021S000017    ,1,2,el Barri Gòtic,269108,Portal de la Pau,17,Not pedestrian´s fault,431350.48,4580999.18,2.177.928.736,41.375.737.337,02/01/2021,Yes,18-22,2,False,Winter,7.4,0.0,1.7,No,5
2021S000018    ,6,32,el Camp d'en Grassot i Gràcia Nova,305100,Sant Joan,17,Not pedestrian´s fault,430374.66,4583905.65,2.165.926.290,41.401.831.120,02/01/2021,Yes,18-22,1,False,Winter,7.4,0.0,1.7,No,5
2021S000021    ,1,4,"Sant Pere, Santa Caterina i la Ribera",271100,Pujades,18,Not pedestrian´s fault,431797.04,4582391.79,2.183.111.581,41.388.318.202,02/01/2021,Yes,14-18,1,False,Winter,7.4,0.0,1.7,No,5
2021S000019    ,9,60,Sant Andreu,242509,Palomar,18,Not pedestrian´s fault,432519.48,4588370.45,2.191.084.438,41.442.227.184,02/01/2021,Yes,14-18,1,False,Winter,7.4,0.0,1.7,No,5
2021S000020    ,8,48,la Guineueta,356905,Verdum,20,Not pedestrian´s fault,430961.39,4587723.61,2.172.508.767,41.436.268.794,02/01/2021,Yes,14-18,1,False,Winter,7.4,0.0,1.7,No,5
2021S000024    ,9,60,Sant Andreu,163107,Irlanda,20,Not pedestrian´s fault,432078.6,4587152.6,2.185.944.258,41.431.221.228,02/01/2021,Yes,14-18,1,False,Winter,7.4,0.0,1.7,No,5
2021S000023    ,9,57,la Trinitat Vella,701268,Dalt (Llobregat),21,Not pedestrian´s fault,432696.87,4588930.56,2.193.145.279,41.447.286.803,02/01/2021,Yes,14-18,1,False,Winter,7.4,0.0,1.7,No,5
2021S000022    ,2,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,22,Not pedestrian´s fault,428919.22,4582584.5,2.148.671.407,41.389.804.576,02/01/2021,Yes,22-2,1,False,Winter,7.4,0.0,1.7,No,1
2021S000025    ,2,9,la Nova Esquerra de l'Eixample,100800,Diputació,11,Not pedestrian´s fault,429564.56,4581737.22,2.156.488.137,41.382.230.208,03/01/2021,Yes,10-14,1,False,Winter,6.7,0.0,2.1,Yes,5
2021S000027    ,2,10,Sant Antoni,169409,Corts Catalanes,12,Not pedestrian´s fault,429688.62,4581639.46,2.157.983.054,41.381.360.572,03/01/2021,Yes,10-14,1,False,Winter,6.7,0.0,2.1,Yes,5
2021S000026    ,3,15,Hostafrancs,169409,Corts Catalanes,12,Not pedestrian´s fault,428699.37,4580743.38,2.146.258.787,41.373.202.779,03/01/2021,Yes,10-14,2,False,Winter,6.7,0.0,2.1,Yes,5
2021S000032    ,2,7,la Dreta de l'Eixample,268003,Provença,13,Not pedestrian´s fault,430634.43,4583728.78,2.169.053.962,41.400.260.576,03/01/2021,Yes,10-14,2,False,Winter,6.7,0.0,2.1,Yes,5
2021S000028    ,5,25,Sant Gervasi - la Bonanova,101008,Tibidabo,13,Not pedestrian´s fault,427313.72,4585409.71,2.129.130.548,41.415.106.495,03/01/2021,Yes,10-14,1,False,Winter,6.7,0.0,2.1,Yes,5
2021S000031    ,1,3,la Barceloneta,197903,Marítim de la Barceloneta,14,Not pedestrian´s fault,432895.31,4582048.9,2.196.284.556,41.385.322.300,03/01/2021,Yes,18-22,1,False,Winter,6.7,0.0,2.1,Yes,6
2021S000033    ,2,7,la Dreta de l'Eixample,144601,Diagonal,14,Not pedestrian´s fault,429946.42,4583384.71,2.160.863.960,41.397.101.972,03/01/2021,Yes,18-22,1,False,Winter,6.7,0.0,2.1,Yes,6
2021S000030    ,7,40,Montbau,148409,Sant Cugat,14,Not pedestrian´s fault,427486.63,4587256.02,2.130.977.792,41.431.751.010,03/01/2021,Yes,18-22,1,False,Winter,6.7,0.0,2.1,Yes,6
2021S000029    ,9,60,Sant Andreu,295709,Sant Adrià,15,Not pedestrian´s fault,432710.34,4587520.14,2.193.463.702,41.434.584.749,03/01/2021,Yes,18-22,1,False,Winter,6.7,0.0,2.1,Yes,6
2021S000037    ,2,8,l'Antiga Esquerra de l'Eixample,100800,Diputació,17,Not pedestrian´s fault,429894.69,4582100.82,2.160.393.896,41.385.533.887,03/01/2021,Yes,18-22,1,False,Winter,6.7,0.0,2.1,Yes,6
2021S000036    ,5,25,Sant Gervasi - la Bonanova,32700,Balmes,17,Not pedestrian´s fault,428074.74,4584502.2,2.138.343.653,41.407.001.436,03/01/2021,Yes,18-22,1,False,Winter,6.7,0.0,2.1,Yes,6
2021S000038    ,4,19,les Corts,278302,Reina Maria Cristina,19,Disobey light traffic signal,427177.61,4582432.32,2.127.860.430,41.388.278.074,03/01/2021,Yes,14-18,1,False,Winter,6.7,0.0,2.1,Yes,4
2021S000039    ,-1,-1,Desconegut,-1,Desconegut,20,Not pedestrian´s fault,-1.0,-1.0,,,03/01/2021,Yes,14-18,1,False,Winter,6.7,0.0,2.1,Yes,4
2021S000040    ,2,9,la Nova Esquerra de l'Eixample,87009,Comte Borrell,20,Not pedestrian´s fault,429336.75,4581961.62,2.153.737.695,41.384.231.317,03/01/2021,Yes,14-18,1,False,Winter,6.7,0.0,2.1,Yes,4
2021S000041    ,2,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,21,Not pedestrian´s fault,429935.09,4582481.94,2.160.832.939,41.388.970.034,03/01/2021,Yes,14-18,2,False,Winter,6.7,0.0,2.1,Yes,4
2021S000063    ,4,20,la Maternitat i Sant Ramon,244209,Joan XXIII,8,Not pedestrian´s fault,426740.28,4582066.66,2.122.674.434,41.384.944.992,04/01/2021,No,6-10,1,False,Winter,7.0,0.0,2.4,No,1
2021S000045    ,2,6,la Sagrada Família,73900,Castillejos,11,Not pedestrian´s fault,431801.89,4584000.14,2.182.988.346,41.402.804.564,04/01/2021,No,10-14,2,False,Winter,7.0,0.0,2.4,No,6
2021S000043    ,3,12,la Marina del Prat Vermell,701491,Transversal 11,11,Not pedestrian´s fault,426029.82,4575851.98,2.114.936.221,41.328.906.710,04/01/2021,No,10-14,1,False,Winter,7.0,0.0,2.4,No,6
2021S000042    ,5,25,Sant Gervasi - la Bonanova,701501,B-20 (Llobregat),11,Not pedestrian´s fault,426972.87,4584864.31,2.125.118.346,41.410.163.403,04/01/2021,No,10-14,1,False,Winter,7.0,0.0,2.4,No,6
2021S000044    ,10,68,el Poblenou,330107,Tànger,11,Not pedestrian´s fault,432876.74,4584223.37,2.195.821.306,41.404.905.646,04/01/2021,No,10-14,1,False,Winter,7.0,0.0,2.4,No,6
2021S000046    ,7,40,Montbau,701267,Dalt (Besòs),12,Not pedestrian´s fault,428509.16,4586744.68,2.143.275.425,41.427.237.308,04/01/2021,No,10-14,1,False,Winter,7.0,0.0,2.4,No,6
2021S000047    ,7,35,el Guinardó,367402,Volart,13,Not pedestrian´s fault,431176.7,4585601.9,2.175.327.350,41.417.177.789,04/01/2021,No,10-14,1,False,Winter,7.0,0.0,2.4,No,6
2021S000048    ,3,15,Hostafrancs,331507,Tarragona,14,Not pedestrian´s fault,428423.26,4581481.55,2.142.870.186,41.379.826.697,04/01/2021,No,18-22,1,False,Winter,7.0,0.0,2.4,No,6
2021S000049    ,8,52,la Prosperitat,127205,Flor de Neu,14,Other,431825.93,4588711.29,2.182.744.460,41.445.238.381,04/01/2021,No,18-22,1,False,Winter,7.0,0.0,2.4,No,6
2021S000050    ,2,8,l'Antiga Esquerra de l'Eixample,110304,Enric Granados,15,Not pedestrian´s fault,429451.29,4582994.06,2.154.987.151,41.393.540.213,04/01/2021,No,18-22,1,False,Winter,7.0,0.0,2.4,No,6
2021S000053    ,8,55,Ciutat Meridiana,351606,Vallcivera,15,Other,431284.33,4590295.68,2.176.081.046,41.459.462.162,04/01/2021,No,18-22,1,False,Winter,7.0,0.0,2.4,No,6
2021S000052    ,6,31,la Vila de Gràcia,90502,Còrsega,16,Not pedestrian´s fault,429939.81,4583457.51,2.160.776.468,41.397.757.080,04/01/2021,No,18-22,1,False,Winter,7.0,0.0,2.4,No,6
2021S000051    ,4,20,la Maternitat i Sant Ramon,701434,Mig (Descendent),17,Not pedestrian´s fault,427190.0,4581767.97,2.128.088.489,41.382.295.659,04/01/2021,No,18-22,2,False,Winter,7.0,0.0,2.4,No,6
2021S000071    ,2,7,la Dreta de l'Eixample,32700,Balmes,19,Not pedestrian´s fault,429973.18,4582649.1,2.161.269.149,41.390.478.909,04/01/2021,No,14-18,1,False,Winter,7.0,0.0,2.4,No,1
2021S000055    ,2,6,la Sagrada Família,89004,Consell de Cent,10,Not pedestrian´s fault,431876.6,4584226.14,2.183.856.601,41.404.846.416,05/01/2021,No,10-14,1,False,Winter,6.2,0.0,1.6,No,6
2021S000054    ,8,45,Porta,289852,Rosselló i Porcel,10,Disobey light traffic signal,431659.89,4587799.16,2.180.860.179,41.437.009.029,05/01/2021,No,10-14,2,False,Winter,6.2,0.0,1.6,No,6
2021S000056    ,7,33,el Baix Guinardó,73900,Castillejos,11,Not pedestrian´s fault,430927.21,4584901.9,2.172.422.186,41.410.851.707,05/01/2021,No,10-14,3,False,Winter,6.2,0.0,1.6,No,6
2021S000058    ,2,7,la Dreta de l'Eixample,169409,Corts Catalanes,12,Not pedestrian´s fault,430365.54,4582302.0,2.166.001.700,41.387.386.771,05/01/2021,No,10-14,2,False,Winter,6.2,0.0,1.6,No,6
2021S000057    ,10,64,el Camp de l'Arpa del Clot,194406,Maragall,12,Not pedestrian´s fault,431625.87,4585436.18,2.180.720.387,41.415.723.569,05/01/2021,No,10-14,2,False,Winter,6.2,0.0,1.6,No,6
2021S000059    ,10,70,el Besòs i el Maresme,143609,Josep Pla,13,Not pedestrian´s fault,434174.89,4585052.69,2.211.260.520,41.412.482.536,05/01/2021,No,10-14,1,False,Winter,6.2,0.0,1.6,No,6
2021S000065    ,5,24,les Tres Torres,16204,Àngel Guimerà,14,Not pedestrian´s fault,427666.87,4583193.06,2.133.620.833,41.395.173.929,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000061    ,5,25,Sant Gervasi - la Bonanova,75509,Cementiri de Sant Gervasi,14,Not pedestrian´s fault,427024.25,4584930.83,2.125.725.004,41.410.767.188,05/01/2021,No,18-22,2,False,Winter,6.2,0.0,1.6,No,10
2021S000064    ,2,7,la Dreta de l'Eixample,350308,València,14,Cross over the pedestrian crossing,429978.17,4582743.78,2.161.317.878,41.391.332.095,05/01/2021,No,18-22,2,False,Winter,6.2,0.0,1.6,No,10
2021S000069    ,2,8,l'Antiga Esquerra de l'Eixample,245802,París,15,Not pedestrian´s fault,429207.24,4582924.99,2.152.076.261,41.392.896.666,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000062    ,2,8,l'Antiga Esquerra de l'Eixample,268003,Provença,15,Not pedestrian´s fault,429558.57,4582708.67,2.156.303.489,41.390.979.211,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000060    ,3,13,la Marina de Port,369408,Zona Franca,15,Not pedestrian´s fault,428092.79,4579322.2,2.139.174.659,41.360.348.698,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000070    ,2,10,Sant Antoni,54509,Calàbria,16,Disobey light traffic signal,429527.52,4581351.73,2.156.090.048,41.378.754.978,05/01/2021,No,18-22,2,False,Winter,6.2,0.0,1.6,No,10
2021S000067    ,7,38,la Teixonera,120603,Fastenrath,17,Not pedestrian´s fault,428945.69,4586281.47,2.148.553.710,41.423.104.119,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000066    ,8,51,Verdun,26605,Artesania,17,Not pedestrian´s fault,430970.31,4588403.47,2.172.537.809,41.442.392.805,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000068    ,10,71,Provençals del Poblenou,143609,Josep Pla,17,Not pedestrian´s fault,433785.04,4585451.97,2.206.552.561,41.416.046.703,05/01/2021,No,18-22,1,False,Winter,6.2,0.0,1.6,No,10
2021S000072    ,8,44,Vilapicina i la Torre Llobeta,194406,Maragall,9,Not pedestrian´s fault,430629.23,4586752.81,2.168.644.816,41.427.496.520,06/01/2021,Yes,6-10,1,False,Winter,6.5,0.0,1.3,No,2
2021S000073    ,3,15,Hostafrancs,94809,Creu Coberta,9,Not pedestrian´s fault,428665.58,4580954.5,2.145.829.911,41.375.101.270,06/01/2021,Yes,6-10,2,False,Winter,6.5,0.0,1.3,No,2
2021S000074    ,8,55,Ciutat Meridiana,3701,Agudes,11,Not pedestrian´s fault,431483.55,4590732.95,2.178.416.580,41.463.417.525,06/01/2021,Yes,10-14,1,False,Winter,6.5,0.0,1.3,No,2
2021S000076    ,10,71,Provençals del Poblenou,42306,Bilbao,13,Not pedestrian´s fault,433114.74,4584408.58,2.198.647.960,41.406.593.632,06/01/2021,Yes,10-14,1,False,Winter,6.5,0.0,1.3,No,2
2021S000075    ,2,10,Sant Antoni,362001,Vilamarí,15,Not pedestrian´s fault,429280.09,4581032.11,2.153.168.637,41.375.854.544,06/01/2021,Yes,18-22,2,False,Winter,6.5,0.0,1.3,No,1
2021S000077    ,3,18,Sants,138802,Galileu,22,Other,427828.79,4581083.29,2.135.808.981,41.376.186.585,06/01/2021,Yes,22-2,1,False,Winter,6.5,0.0,1.3,No,1
2021S000079    ,4,21,Pedralbes,701267,Dalt (Besòs),7,Not pedestrian´s fault,425648.78,4583019.77,2.109.504.322,41.393.429.037,07/01/2021,No,6-10,1,False,Winter,6.5,1.6,1.5,No,2
2021S000080    ,7,41,la Vall d'Hebron,352507,Vall d'Hebron,7,Not pedestrian´s fault,428713.27,4587166.68,2.145.668.156,41.431.056.233,07/01/2021,No,6-10,1,False,Winter,6.5,1.6,1.5,No,2
