District_name,Week_day,Month,Time,Sex,Age,Day,Holiday,Time_segment,Number of victims,Slightly injured,Severely injured,Weekend Exit,Season,Density,Weekend Return,Number of accidents by time segment
Les Corts,Friday,1,0,Man,24,2021-01-01,Yes,Leisure,0,0,1,True,Winter,1,No,1
Eixample,Friday,1,12,Woman,49,2021-01-01,Yes,Morning,0,1,0,True,Winter,1,No,2
Gràcia,Friday,1,12,Man,27,2021-01-01,Yes,Morning,0,0,1,True,Winter,1,No,2
Sant Andreu,Friday,1,18,Woman,46,2021-01-01,Yes,Afternoon,0,0,1,True,Winter,1,No,2
Eixample,Friday,1,20,Woman,58,2021-01-01,Yes,Afternoon,0,0,1,True,Winter,1,No,2
Horta-Guinardó,Saturday,1,8,Man,30,2021-01-02,Yes,Work Entrance,0,1,0,False,Winter,0,No,2
Sants-Montjuïc,Saturday,1,9,Woman,57,2021-01-02,Yes,Work Entrance,0,0,1,False,Winter,1,No,2
Eixample,Saturday,1,11,Woman,65,2021-01-02,Yes,Morning,0,1,0,False,Winter,1,No,4
Sants-Montjuïc,Saturday,1,11,Woman,46,2021-01-02,Yes,Morning,0,0,1,False,Winter,1,No,4
Sarrià-Sant Gervasi,Saturday,1,11,Man,60,2021-01-02,Yes,Morning,0,0,1,False,Winter,1,No,4
Eixample,Saturday,1,13,Man,39,2021-01-02,Yes,Morning,0,0,1,False,Winter,1,No,4
Eixample,Saturday,1,14,Man,60,2021-01-02,Yes,Work Departure,0,0,1,False,Winter,1,No,5
Eixample,Saturday,1,15,Man,55,2021-01-02,Yes,Work Departure,0,0,1,False,Winter,1,No,5
Sant Martí,Saturday,1,15,Woman,23,2021-01-02,Yes,Work Departure,0,0,1,False,Winter,1,No,5
Ciutat Vella,Saturday,1,17,Man,19,2021-01-02,Yes,Work Departure,0,0,1,False,Winter,1,No,5
Gràcia,Saturday,1,17,Man,44,2021-01-02,Yes,Work Departure,0,1,0,False,Winter,1,No,5
Ciutat Vella,Saturday,1,18,Man,60,2021-01-02,Yes,Afternoon,0,0,1,False,Winter,1,No,5
