Week_day,Year,Month_name,Day_month,Injury_severity,Time_segment,Vacation_day,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Number of victims by time segment,Exceeds_Threshold
Friday,2021,January,1,2,Leisure,False,0,0,1,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,2,False
Friday,2021,January,1,2,Morning,False,0,1,1,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,5,True
Friday,2021,January,1,2,Afternoon,False,0,0,2,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,7,True
Saturday,2021,January,2,2,Work Entrance,True,0,1,1,False,Winter,0,7.4,55,1001.9,0.0,7.0,1.7,2,False
Saturday,2021,January,2,2,Morning,True,0,1,3,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,5,True
Saturday,2021,January,2,2,Work Departure,True,0,1,4,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,6,True
Saturday,2021,January,2,2,Afternoon,True,0,0,5,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,5,True
Saturday,2021,January,2,2,Leisure,True,0,0,1,False,Winter,0,7.4,55,1001.9,0.0,7.0,1.7,1,False
Sunday,2021,January,3,2,Morning,True,0,2,3,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,7,True
Sunday,2021,January,3,2,Work Departure,True,0,2,4,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,6,True
Sunday,2021,January,3,2,Afternoon,True,0,1,3,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,5,True
Monday,2021,January,4,2,Morning,False,0,3,3,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,7,True
Monday,2021,January,4,3,Work Departure,False,0,0,6,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,7,True
Tuesday,2021,January,5,2,Morning,False,0,3,3,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,11,True
Tuesday,2021,January,5,2,Work Departure,False,0,3,7,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,13,True
Monday,2021,January,4,2,Work Entrance,False,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,1,False
Monday,2021,January,4,1,Afternoon,False,0,1,0,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,1,False
Wednesday,2021,January,6,2,Work Entrance,False,0,0,2,False,Winter,0,6.5,61,1010.0,0.0,7.4,1.3,3,False
Wednesday,2021,January,6,2,Morning,False,0,1,1,False,Winter,1,6.5,61,1010.0,0.0,7.4,1.3,2,False
Wednesday,2021,January,6,1,Work Departure,False,0,1,0,False,Winter,1,6.5,61,1010.0,0.0,7.4,1.3,2,False
Wednesday,2021,January,6,2,Leisure,False,0,0,1,False,Winter,0,6.5,61,1010.0,0.0,7.4,1.3,1,False
Thursday,2021,January,7,2,Work Entrance,False,0,0,2,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,2,False
Thursday,2021,January,7,2,Morning,False,0,1,2,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,5,True
Thursday,2021,January,7,2,Work Departure,False,0,1,1,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,2,False
Thursday,2021,January,7,2,Afternoon,False,0,2,6,False,Winter,1,6.5,64,1009.8,1.6,3.3,1.5,10,True
Friday,2021,January,8,2,Work Entrance,False,0,1,3,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,4,True
Friday,2021,January,8,2,Morning,False,0,2,1,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,3,False
Friday,2021,January,8,3,Work Departure,False,0,2,7,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,11,True
Friday,2021,January,8,2,Afternoon,False,0,1,8,True,Winter,1,6.0,53,1008.7,0.0,5.5,1.3,11,True
Friday,2021,January,8,2,Leisure,False,0,1,1,True,Winter,0,6.0,53,1008.7,0.0,5.5,1.3,3,False
Saturday,2021,January,9,1,Morning,True,0,1,0,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,1,False
Saturday,2021,January,9,1,Work Departure,True,0,2,0,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,2,False
Saturday,2021,January,9,2,Afternoon,True,0,1,2,False,Winter,1,6.8,72,1002.9,20.0,1.2,4.2,3,False
Sunday,2021,January,10,2,Work Entrance,True,0,0,1,False,Winter,0,7.5,68,1007.1,5.2,1.3,2.1,1,False
Sunday,2021,January,10,2,Morning,True,0,0,1,False,Winter,1,7.5,68,1007.1,5.2,1.3,2.1,1,False
Sunday,2021,January,10,2,Work Departure,True,0,1,1,False,Winter,1,7.5,68,1007.1,5.2,1.3,2.1,2,False
Sunday,2021,January,10,1,Afternoon,True,0,1,0,False,Winter,1,7.5,68,1007.1,5.2,1.3,2.1,1,False
Sunday,2021,January,10,2,Leisure,True,0,0,1,False,Winter,0,7.5,68,1007.1,5.2,1.3,2.1,1,False
Monday,2021,January,11,2,Work Entrance,False,0,3,2,False,Winter,1,6.0,62,1015.5,0.0,9.2,1.7,6,True
Monday,2021,January,11,2,Morning,False,0,1,4,False,Winter,1,6.0,62,1015.5,0.0,9.2,1.7,5,True
Monday,2021,January,11,2,Work Departure,False,0,4,3,False,Winter,1,6.0,62,1015.5,0.0,9.2,1.7,11,True
Monday,2021,January,11,2,Afternoon,False,0,2,4,False,Winter,1,6.0,62,1015.5,0.0,9.2,1.7,6,True
Tuesday,2021,January,12,2,Work Entrance,False,0,0,3,False,Winter,2,6.3,50,1020.2,0.0,9.8,1.9,3,False
Tuesday,2021,January,12,3,Morning,False,0,2,9,False,Winter,1,6.3,50,1020.2,0.0,9.8,1.9,12,True
Tuesday,2021,January,12,2,Work Departure,False,0,0,2,False,Winter,1,6.3,50,1020.2,0.0,9.8,1.9,2,False
Tuesday,2021,January,12,2,Afternoon,False,0,0,3,False,Winter,1,6.3,50,1020.2,0.0,9.8,1.9,3,False
Wednesday,2021,January,13,2,Work Entrance,False,0,0,3,False,Winter,1,8.6,56,1021.2,0.0,9.9,1.9,4,True
