Case_number,District_name,Week_day,Year,Month,Day_month,Time,Type_of_vehicle,Sex,Age,Person_type,Injury_severity,Day,Holiday,Vacation_day,Numero_expedient_count,Number of victims,Slightly injured,Severely injured,Weekend Exists,Season,Density,TM,HRM,PM,PPT,RS24h,VVM10,Time_segment
2021S000001    ,Les Corts,Friday,2021,1,1,0,Motorcycle,Man,24,Driver,2,01/01/2021,Not Holiday,False,2,0,0,1,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,22-6
2021S000002    ,Eixample,Friday,2021,1,1,12,Tourism,Woman,49,Passenger,1,01/01/2021,Not Holiday,False,4,0,1,0,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,6-14
2021S000003    ,Sant Andreu,Friday,2021,1,1,18,Tourism,Woman,46,Passenger,2,01/01/2021,Not Holiday,False,3,0,0,1,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,14-22
2021S000004    ,Eixample,Friday,2021,1,1,20,Tourism,Woman,58,Passenger,2,01/01/2021,Not Holiday,False,4,0,0,1,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,14-22
2021S000005    ,Gràcia,Friday,2021,1,1,12,Motorcycle,Man,27,Driver,2,01/01/2021,Not Holiday,False,1,0,0,1,True,Winter,1,8.9,61,1001.0,0.1,1.5,1.9,6-14
2021S000006    ,Horta-Guinardó,Saturday,2021,1,2,8,Tourism,Man,30,Driver,1,02/01/2021,Not Holiday,True,1,0,1,0,False,Winter,0,7.4,55,1001.9,0.0,7.0,1.7,6-14
2021S000007    ,Sants-Montjuïc,Saturday,2021,1,2,9,Articulated bus,Woman,57,Passenger,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,6-14
2021S000008    ,Sarrià-Sant Gervasi,Saturday,2021,1,2,11,Bicycle,Man,60,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,6-14
2021S000009    ,Eixample,Saturday,2021,1,2,11,Motorcycle,Woman,65,Passenger,1,02/01/2021,Not Holiday,True,2,0,1,0,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,6-14
2021S000010    ,Sants-Montjuïc,Saturday,2021,1,2,11,Bus,Woman,46,Passenger,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,6-14
2021S000012    ,Eixample,Saturday,2021,1,2,13,Motorcycle,Man,39,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,6-14
2021S000014    ,Eixample,Saturday,2021,1,2,14,Tourism,Man,60,Pedestrian,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000015    ,Sant Martí,Saturday,2021,1,2,15,Veh. motor personal mobility,Woman,23,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000016    ,Eixample,Saturday,2021,1,2,15,Motorcycle,Man,55,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000017    ,Ciutat Vella,Saturday,2021,1,2,17,Tourism,Man,19,Passenger,2,02/01/2021,Not Holiday,True,2,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000018    ,Gràcia,Saturday,2021,1,2,17,Motorcycle,Man,44,Driver,1,02/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000019    ,Sant Andreu,Saturday,2021,1,2,18,Motorcycle,Man,55,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000020    ,Nou Barris,Saturday,2021,1,2,20,Rigid truck <= 3.5 tonnes,Man,58,Pedestrian,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000021    ,Ciutat Vella,Saturday,2021,1,2,18,Motorcycle,Man,60,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000022    ,Eixample,Saturday,2021,1,2,22,Bicycle,Woman,55,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,0,7.4,55,1001.9,0.0,7.0,1.7,22-6
2021S000023    ,Sant Andreu,Saturday,2021,1,2,21,Motorcycle,Man,24,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000024    ,Sant Andreu,Saturday,2021,1,2,20,Bicycle,Man,19,Driver,2,02/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,7.4,55,1001.9,0.0,7.0,1.7,14-22
2021S000025    ,Eixample,Sunday,2021,1,3,11,Motorcycle,Man,51,Driver,1,03/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,6-14
2021S000026    ,Sants-Montjuïc,Sunday,2021,1,3,12,Motorcycle,Woman,42,Passenger,2,03/01/2021,Not Holiday,True,2,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,6-14
2021S000027    ,Eixample,Sunday,2021,1,3,12,Bicycle,Man,45,Driver,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,6-14
2021S000028    ,Sarrià-Sant Gervasi,Sunday,2021,1,3,13,Bicycle,Woman,32,Driver,1,03/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,6-14
2021S000029    ,Sant Andreu,Sunday,2021,1,3,15,Motorcycle,Woman,20,Passenger,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000030    ,Horta-Guinardó,Sunday,2021,1,3,14,Motorcycle,Man,24,Driver,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000031    ,Ciutat Vella,Sunday,2021,1,3,14,Bicycle,Woman,38,Driver,1,03/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000032    ,Eixample,Sunday,2021,1,3,13,Bicycle,Man,34,Driver,2,03/01/2021,Not Holiday,True,2,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,6-14
2021S000033    ,Eixample,Sunday,2021,1,3,14,Articulated bus,Woman,80,Passenger,1,03/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000036    ,Sarrià-Sant Gervasi,Sunday,2021,1,3,17,Motorcycle,Man,20,Driver,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000037    ,Eixample,Sunday,2021,1,3,17,Ciclomotor,Man,25,Driver,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000038    ,Les Corts,Sunday,2021,1,3,19,SUV,Man,13,Pedestrian,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000039    ,Desconegut,Sunday,2021,1,3,20,Motorcycle,Man,30,Driver,2,03/01/2021,Not Holiday,True,1,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000040    ,Eixample,Sunday,2021,1,3,20,Motorcycle,Man,47,Driver,1,03/01/2021,Not Holiday,True,1,0,1,0,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000041    ,Eixample,Sunday,2021,1,3,21,Motorcycle,Woman,23,Passenger,2,03/01/2021,Not Holiday,True,2,0,0,1,False,Winter,1,6.7,44,1005.8,0.0,8.5,2.1,14-22
2021S000042    ,Sarrià-Sant Gervasi,Monday,2021,1,4,11,Motorcycle,Man,39,Driver,1,04/01/2021,Not Holiday,False,1,0,1,0,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000043    ,Sants-Montjuïc,Monday,2021,1,4,11,Tourism,Man,65,Driver,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000044    ,Sant Martí,Monday,2021,1,4,11,Ciclomotor,Man,20,Driver,1,04/01/2021,Not Holiday,False,1,0,1,0,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000045    ,Eixample,Monday,2021,1,4,11,Bus,Woman,77,Passenger,1,04/01/2021,Not Holiday,False,2,0,1,0,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000046    ,Horta-Guinardó,Monday,2021,1,4,12,Bus,Woman,86,Passenger,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000047    ,Horta-Guinardó,Monday,2021,1,4,13,Ciclomotor,Man,59,Driver,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,2,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000048    ,Sants-Montjuïc,Monday,2021,1,4,14,Veh. motor personal mobility,Woman,44,Driver,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000049    ,Nou Barris,Monday,2021,1,4,14,Unknown,Woman,60,Pedestrian,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000050    ,Eixample,Monday,2021,1,4,15,Motorcycle,Woman,28,Driver,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000051    ,Les Corts,Monday,2021,1,4,17,Ciclomotor,Woman,63,Passenger,3,04/01/2021,Not Holiday,False,2,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000052    ,Gràcia,Monday,2021,1,4,16,Motorcycle,Man,62,Driver,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000053    ,Nou Barris,Monday,2021,1,4,15,Bus,Woman,59,Passenger,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000054    ,Nou Barris,Tuesday,2021,1,5,10,Veh. motor personal mobility,Woman,62,Pedestrian,2,05/01/2021,Not Holiday,False,2,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,6-14
2021S000055    ,Eixample,Tuesday,2021,1,5,10,Veh. motor personal mobility,Man,38,Driver,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,6-14
2021S000056    ,Horta-Guinardó,Tuesday,2021,1,5,11,Motorcycle,Woman,34,Passenger,1,05/01/2021,Not Holiday,False,3,0,1,0,False,Winter,2,6.2,59,1006.4,0.0,7.4,1.6,6-14
2021S000057    ,Sant Martí,Tuesday,2021,1,5,12,Bicycle,Man,36,Driver,1,05/01/2021,Not Holiday,False,2,0,1,0,False,Winter,2,6.2,59,1006.4,0.0,7.4,1.6,6-14
2021S000058    ,Eixample,Tuesday,2021,1,5,12,Motorcycle,Woman,49,Passenger,1,05/01/2021,Not Holiday,False,2,0,1,0,False,Winter,2,6.2,59,1006.4,0.0,7.4,1.6,6-14
2021S000059    ,Sant Martí,Tuesday,2021,1,5,13,Bus,Woman,68,Passenger,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,2,6.2,59,1006.4,0.0,7.4,1.6,6-14
2021S000060    ,Sants-Montjuïc,Tuesday,2021,1,5,15,Motorcycle,Man,57,Driver,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000061    ,Sarrià-Sant Gervasi,Tuesday,2021,1,5,14,Motorcycle,Woman,33,Passenger,2,05/01/2021,Not Holiday,False,2,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000062    ,Eixample,Tuesday,2021,1,5,15,Bicycle,Man,20,Driver,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000063    ,Les Corts,Monday,2021,1,4,8,Other,Man,44,Driver,2,04/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,6-14
2021S000064    ,Eixample,Tuesday,2021,1,5,14,Veh. motor personal mobility,Woman,36,Pedestrian,1,05/01/2021,Not Holiday,False,2,0,1,0,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000065    ,Sarrià-Sant Gervasi,Tuesday,2021,1,5,14,Motorcycle,Woman,50,Driver,1,05/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000066    ,Nou Barris,Tuesday,2021,1,5,17,Motorcycle,Man,40,Driver,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000067    ,Horta-Guinardó,Tuesday,2021,1,5,17,Motorcycle,Man,48,Driver,1,05/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000068    ,Sant Martí,Tuesday,2021,1,5,17,Motorcycle,Man,46,Driver,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000069    ,Eixample,Tuesday,2021,1,5,15,Motorcycle,Man,47,Driver,2,05/01/2021,Not Holiday,False,1,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000070    ,Eixample,Tuesday,2021,1,5,16,Veh. motor personal mobility,Woman,33,Pedestrian,2,05/01/2021,Not Holiday,False,2,0,0,1,False,Winter,1,6.2,59,1006.4,0.0,7.4,1.6,14-22
2021S000071    ,Eixample,Monday,2021,1,4,19,Motorcycle,Man,42,Driver,1,04/01/2021,Not Holiday,False,1,0,1,0,False,Winter,1,7.0,53,1005.2,0.0,8.9,2.4,14-22
2021S000072    ,Nou Barris,Wednesday,2021,1,6,9,Motorcycle,Man,31,Driver,2,06/01/2021,Not Holiday,False,1,0,0,1,False,Winter,0,6.5,61,1010.0,0.0,7.4,1.3,6-14
