Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_ Any,Mes_ any,Nom_mes,Dia_mes,Descripcio_torn,Hora_dia,Descripcio_causa_vianant,Desc_Tipus_vehicle_implicat,Descripcio_sexe,Edat,Descripcio_tipus_persona,Descripcio_Lloc_atropellament_vianant,Descripcio_Motiu_desplaçament_vianant,Descripcio_Motiu_desplaçament_conductor,Descripcio_victimitzacio,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Dia,Holiday,Accidents,Franja_horaria,Dies_Festa,Ponts,Estació,Estacio
2022S000001    ,2,Eixample,9,la Nova Esquerra de l'Eixample,110803,Entença,0198B0198B,Dissabte,2022,1,Gener,1,Nit,1,No és causa del  vianant,Motocicleta,Dona,31,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,428502.72,4582056.71,2022-01-01,Vacation,2022S000001    ,Oci,True,Res,Hivern,Hivern
2022S000002    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló,0294B0294B,Dissabte,2022,1,Gener,1,Nit,1,No és causa del  vianant,Motocicleta,Dona,26,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,430409.2,4583691.07,2022-01-01,Vacation,2022S000002    ,Oci,True,Res,Hivern,Hivern
2022S000003    ,2,Eixample,9,la Nova Esquerra de l'Eixample,268003,Provença,0092 0094,Dissabte,2022,1,Gener,1,Tarda,15,No és causa del  vianant,Bicicleta,Home,31,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,428869.16,4582000.36,2022-01-01,Vacation,2022S000003    ,Sortida Feina,True,Res,Hivern,Hivern
2022S000004    ,7,Horta-Guinardó,33,el Baix Guinardó,152905,Guinardó,0030B0030B,Dissabte,2022,1,Gener,1,Tarda,16,No és causa del  vianant,Motocicleta,Home,37,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,430243.82,4584996.8,2022-01-01,Vacation,2022S000004    ,Sortida Feina,True,Res,Hivern,Hivern
2022S000007    ,4,Les Corts,19,les Corts,144601,Diagonal,0609 0615,Dissabte,2022,1,Gener,1,Tarda,19,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,29,Conductor,Desconegut                                                                                                                                            ,Desconegut,En missió,Ferit lleu: Hospitalització fins a 24h,427253.12,4582427.17,2022-01-01,Vacation,2022S000007    ,Tarda,True,Res,Hivern,Hivern
2022S000009    ,1,Ciutat Vella,2,el Barri Gòtic,130403,Fontanella,0022 0022,Diumenge,2022,1,Gener,2,Matí,13,No és causa del  vianant,Bicicleta,Home,33,Conductor,Desconegut                                                                                                                                            ,Desconegut,En missió,Ferit lleu: Hospitalització fins a 24h,430931.9,4582397.17,2022-01-02,Not Holiday,2022S000009    ,Matí,True,Res,Hivern,Hivern
2022S000010    ,4,Les Corts,20,la Maternitat i Sant Ramon,343903,Corts,0129 0129,Diumenge,2022,1,Gener,2,Tarda,14,No és causa del  vianant,Motocicleta,Home,45,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,426781.01,4581440.14,2022-01-02,Not Holiday,2022S000010    ,Sortida Feina,True,Res,Hivern,Hivern
2022S000011    ,9,Sant Andreu,63,Navas,194406,Maragall,0094 0096,Diumenge,2022,1,Gener,2,Tarda,16,No és causa del  vianant,Bicicleta,Dona,53,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431644.69,4585837.25,2022-01-02,Not Holiday,2022S000011    ,Sortida Feina,True,Res,Hivern,Hivern
2022S000012    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,44709,Bonanova,0014 0016,Diumenge,2022,1,Gener,2,Tarda,17,No és causa del  vianant,Motocicleta,Dona,31,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,427499.27,4584358.76,2022-01-02,Not Holiday,2022S000012    ,Sortida Feina,True,Res,Hivern,Hivern
2022S000013    ,5,Sarrià-Sant Gervasi,23,Sarrià,28000,Augusta,0323 0323,Diumenge,2022,1,Gener,2,Tarda,18,No és causa del  vianant,Furgoneta,Dona,36,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,426839.02,4583691.93,2022-01-02,Not Holiday,2022S000013    ,Tarda,True,Res,Hivern,Hivern
2022S000014    ,3,Sants-Montjuïc,18,Sants,312400,Sants,0019 0019,Diumenge,2022,1,Gener,2,Tarda,19,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,7,Vianant,En zona peatonal                                                                                                                                      ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,428177.3,4580971.64,2022-01-02,Not Holiday,2022S000014    ,Tarda,True,Res,Hivern,Hivern
2022S000015    ,7,Horta-Guinardó,36,la Font d'en Fargues,248800,Pedrell,0154 0156,Diumenge,2022,1,Gener,2,Tarda,20,No és causa del  vianant,Turisme,Dona,16,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Rebutja assistència sanitària,429954.19,4586334.77,2022-01-02,Not Holiday,2022S000015    ,Tarda,True,Res,Hivern,Hivern
2022S000016    ,2,Eixample,7,la Dreta de l'Eixample,289105,Rosselló,0263 0263,Diumenge,2022,1,Gener,2,Tarda,20,No és causa del  vianant,Motocicleta,Dona,26,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,429933.45,4583269.65,2022-01-02,Not Holiday,2022S000016    ,Tarda,True,Res,Hivern,Hivern
2022S000017    ,7,Horta-Guinardó,35,el Guinardó,14107,Amílcar,0098 0100,Diumenge,2022,1,Gener,2,Tarda,21,Creuar per fora pas de vianants,Turisme,Dona,49,Vianant,Fora del pas                                                                                                                                          ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430947.86,4586434.58,2022-01-02,Not Holiday,2022S000017    ,Tarda,True,Res,Hivern,Hivern
2022S000018    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,332204,Tavern,0042 0046,Diumenge,2022,1,Gener,2,Nit,23,No és causa del  vianant,Motocicleta,Home,20,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,428523.25,4583664.82,2022-01-02,Not Holiday,2022S000018    ,Oci,True,Res,Hivern,Hivern
2022S000019    ,1,Ciutat Vella,1,el Raval,269108,Portal de la Pau,0002 0002,Dilluns,2022,1,Gener,3,Matí,8,No és causa del  vianant,Bicicleta,Home,31,Conductor,Desconegut                                                                                                                                            ,Desconegut,En missió,Ferit lleu: Hospitalització fins a 24h,431229.39,4581076.77,2022-01-03,Not Holiday,2022S000019    ,Entrada Feina,False,Res,Hivern,Hivern
2022S000021    ,9,Sant Andreu,59,el Bon Pastor,701177,Monterrey,0001 0001,Dilluns,2022,1,Gener,3,Matí,10,No és causa del  vianant,Motocicleta,Home,40,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,433767.29,4588494.32,2022-01-03,Not Holiday,2022S000021    ,Matí,False,Res,Hivern,Hivern
2022S000020    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó,0297 0297,Dilluns,2022,1,Gener,3,Matí,11,No és causa del  vianant,Motocicleta,Home,40,Conductor,Desconegut                                                                                                                                            ,Desconegut,En missió,Mort (dins 24h posteriors accident),430506.02,4583080.73,2022-01-03,Not Holiday,2022S000020    ,Matí,False,Res,Hivern,Hivern
2022S000022    ,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,0072S0072S,Dilluns,2022,1,Gener,3,Matí,11,No és causa del  vianant,Autobús,Dona,65,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430174.51,4582962.76,2022-01-03,Not Holiday,2022S000022    ,Matí,False,Res,Hivern,Hivern
2022S000023    ,4,Les Corts,20,la Maternitat i Sant Ramon,343903,Corts,0124 0124,Dilluns,2022,1,Gener,3,Matí,13,No és causa del  vianant,Motocicleta,Dona,38,Conductor,En pas regulat per semàfor                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,427002.05,4581591.47,2022-01-03,Not Holiday,2022S000023    ,Matí,False,Res,Hivern,Hivern
2022S000024    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,143904,General Mitre,0137 0139,Dilluns,2022,1,Gener,3,Tarda,14,No és causa del  vianant,Motocicleta,Home,28,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,427992.0,4584009.75,2022-01-03,Not Holiday,2022S000024    ,Sortida Feina,False,Res,Hivern,Hivern
2022S000026    ,9,Sant Andreu,59,el Bon Pastor,701265,Litoral (Besòs),140000,Dilluns,2022,1,Gener,3,Tarda,14,No és causa del  vianant,Motocicleta,Home,34,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,433892.17,4588287.89,2022-01-03,Not Holiday,2022S000026    ,Sortida Feina,False,Res,Hivern,Hivern
