Time segment,Holiday,Weekend Exit,Season,Weekend Return,Number,Exceeds Threshold
10-14,No,No,Fall,No,636,Yes
10-14,No,No,Fall,Yes,0,No
10-14,No,No,Spring,No,642,Yes
10-14,No,No,Spring,Yes,0,No
10-14,No,No,Summer,No,589,Yes
10-14,No,No,Summer,Yes,0,No
10-14,No,No,Winter,No,601,Yes
10-14,No,No,Winter,Yes,0,No
10-14,No,Yes,Fall,No,184,Yes
10-14,No,Yes,Fall,Yes,0,No
10-14,No,Yes,Spring,No,157,No
10-14,No,Yes,Spring,Yes,0,No
10-14,No,Yes,Summer,No,163,Yes
10-14,No,Yes,Summer,Yes,0,No
10-14,No,Yes,Winter,No,146,No
10-14,No,Yes,Winter,Yes,0,No
10-14,Yes,No,Fall,No,146,No
10-14,Yes,No,Fall,Yes,112,No
10-14,Yes,No,Spring,No,137,No
10-14,Yes,No,Spring,Yes,112,No
10-14,Yes,No,Summer,No,143,No
10-14,Yes,No,Summer,Yes,77,No
10-14,Yes,No,Winter,No,143,No
10-14,Yes,No,Winter,Yes,94,No
10-14,Yes,Yes,Fall,No,1,No
10-14,Yes,Yes,Fall,Yes,0,No
10-14,Yes,Yes,Spring,No,1,No
10-14,Yes,Yes,Spring,Yes,0,No
10-14,Yes,Yes,Summer,No,4,No
10-14,Yes,Yes,Summer,Yes,0,No
10-14,Yes,Yes,Winter,No,5,No
10-14,Yes,Yes,Winter,Yes,0,No
14-18,No,No,Fall,No,620,Yes
14-18,No,No,Fall,Yes,0,No
14-18,No,No,Spring,No,699,Yes
14-18,No,No,Spring,Yes,0,No
14-18,No,No,Summer,No,622,Yes
14-18,No,No,Summer,Yes,0,No
14-18,No,No,Winter,No,514,Yes
14-18,No,No,Winter,Yes,0,No
14-18,No,Yes,Fall,No,192,Yes
14-18,No,Yes,Fall,Yes,0,No
14-18,No,Yes,Spring,No,198,Yes
14-18,No,Yes,Spring,Yes,0,No
14-18,No,Yes,Summer,No,152,No
14-18,No,Yes,Summer,Yes,0,No
14-18,No,Yes,Winter,No,161,Yes
14-18,No,Yes,Winter,Yes,0,No
14-18,Yes,No,Fall,No,127,No
14-18,Yes,No,Fall,Yes,138,No
14-18,Yes,No,Spring,No,157,No
14-18,Yes,No,Spring,Yes,125,No
14-18,Yes,No,Summer,No,128,No
14-18,Yes,No,Summer,Yes,76,No
14-18,Yes,No,Winter,No,171,Yes
14-18,Yes,No,Winter,Yes,104,No
14-18,Yes,Yes,Fall,No,5,No
14-18,Yes,Yes,Fall,Yes,0,No
14-18,Yes,Yes,Spring,No,3,No
14-18,Yes,Yes,Spring,Yes,0,No
14-18,Yes,Yes,Summer,No,1,No
14-18,Yes,Yes,Summer,Yes,0,No
14-18,Yes,Yes,Winter,No,7,No
14-18,Yes,Yes,Winter,Yes,0,No
18-22,No,No,Fall,No,790,Yes
18-22,No,No,Fall,Yes,0,No
18-22,No,No,Spring,No,790,Yes
18-22,No,No,Spring,Yes,0,No
18-22,No,No,Summer,No,765,Yes
