Time segment,Holiday,Weekend Exit,Season,Weekend Return,Number accidents
6-10,Yes,Yes,Winter,Yes,0.0
6-10,Yes,Yes,Winter,No,0.0
6-10,Yes,Yes,Spring,Yes,0.0
6-10,Yes,Yes,Spring,No,2.0
6-10,Yes,Yes,Summer,Yes,0.0
6-10,Yes,Yes,Summer,No,1.0
6-10,Yes,Yes,Fall,Yes,0.0
6-10,Yes,Yes,Fall,No,2.0
6-10,Yes,No,Winter,Yes,20.0
6-10,Yes,No,Winter,No,38.0
6-10,Yes,No,Spring,Yes,25.0
6-10,Yes,No,Spring,No,32.0
6-10,Yes,No,Summer,Yes,31.0
6-10,Yes,No,Summer,No,36.0
6-10,Yes,No,Fall,Yes,30.0
6-10,Yes,No,Fall,No,42.0
6-10,No,Yes,Winter,Yes,0.0
6-10,No,Yes,Winter,No,105.0
6-10,No,Yes,Spring,Yes,0.0
6-10,No,Yes,Spring,No,79.0
6-10,No,Yes,Summer,Yes,0.0
6-10,No,Yes,Summer,No,82.0
6-10,No,Yes,Fall,Yes,0.0
6-10,No,Yes,Fall,No,123.0
6-10,No,No,Winter,Yes,0.0
6-10,No,No,Winter,No,354.0
6-10,No,No,Spring,Yes,0.0
6-10,No,No,Spring,No,388.0
6-10,No,No,Summer,Yes,0.0
6-10,No,No,Summer,No,309.0
6-10,No,No,Fall,Yes,0.0
6-10,No,No,Fall,No,445.0
10-14,Yes,Yes,Winter,Yes,0.0
10-14,Yes,Yes,Winter,No,2.0
10-14,Yes,Yes,Spring,Yes,0.0
10-14,Yes,Yes,Spring,No,1.0
10-14,Yes,Yes,Summer,Yes,0.0
10-14,Yes,Yes,Summer,No,3.0
10-14,Yes,Yes,Fall,Yes,0.0
10-14,Yes,Yes,Fall,No,1.0
10-14,Yes,No,Winter,Yes,70.0
10-14,Yes,No,Winter,No,107.0
10-14,Yes,No,Spring,Yes,77.0
10-14,Yes,No,Spring,No,100.0
10-14,Yes,No,Summer,Yes,54.0
10-14,Yes,No,Summer,No,99.0
10-14,Yes,No,Fall,Yes,77.0
10-14,Yes,No,Fall,No,119.0
10-14,No,Yes,Winter,Yes,0.0
10-14,No,Yes,Winter,No,127.0
10-14,No,Yes,Spring,Yes,0.0
10-14,No,Yes,Spring,No,132.0
10-14,No,Yes,Summer,Yes,0.0
10-14,No,Yes,Summer,No,137.0
10-14,No,Yes,Fall,Yes,0.0
10-14,No,Yes,Fall,No,154.0
10-14,No,No,Winter,Yes,0.0
10-14,No,No,Winter,No,479.0
10-14,No,No,Spring,Yes,0.0
10-14,No,No,Spring,No,523.0
10-14,No,No,Summer,Yes,0.0
10-14,No,No,Summer,No,478.0
10-14,No,No,Fall,Yes,0.0
10-14,No,No,Fall,No,527.0
14-18,Yes,Yes,Winter,Yes,0.0
14-18,Yes,Yes,Winter,No,2.0
14-18,Yes,Yes,Spring,Yes,0.0
14-18,Yes,Yes,Spring,No,3.0
14-18,Yes,Yes,Summer,Yes,0.0
