EMA;DATA;TM;TX;Data Extrem TX;TN;Data Extrem TN;HRM;HRX;Data Extrem HRX;HRN;Data Extrem HRN;PM;PX;Data Extrem PX;PN;Data Extrem PN;PPT;RS24h;VVM10;DVM10;VVX10;Data Extrem VVX10;DVVX10;Data Extrem DVVX10
X4;01/01/2022;12,4;18;2022-01-01 14:46:00;8,5;2022-01-01 07:27:00;77;100;2022-01-01 23:30:00;52;2022-01-01 09:56:00;1022,9;1024;2022-01-01 23:38:00;1021,5;2022-01-01 14:44:00;0;9,2;1,4;257;4,6;2022-01-01 10:29:00;261;2022-01-01 10:29:00
X4;02/01/2022;12,4;15,8;2022-01-02 13:49:00;9,6;2022-01-02 03:45:00;83;100;2022-01-02 03:00:00;54;2022-01-02 09:48:00;1023,9;1025,1;2022-01-02 09:47:00;1022,7;2022-01-02 14:30:00;0;8,7;1,2;227;5,8;2022-01-02 10:24:00;256;2022-01-02 10:24:00
X4;03/01/2022;11,8;15,8;2022-01-03 14:06:00;8,4;2022-01-03 07:09:00;80;100;2022-01-03 02:30:00;54;2022-01-03 10:21:00;1019,6;1024,5;2022-01-03 00:03:00;1013,5;2022-01-03 23:58:00;0;7,9;1,8;248;6,1;2022-01-03 16:07:00;256;2022-01-03 16:07:00
X4;04/01/2022;14,6;20,8;2022-01-04 14:33:00;11,1;2022-01-04 05:30:00;70;98;2022-01-04 23:00:00;45;2022-01-04 11:34:00;1006,5;1013,5;2022-01-04 00:00:00;1000,3;2022-01-04 23:36:00;0;9;2,1;264;6,4;2022-01-04 00:53:00;260;2022-01-04 00:53:00
X4;05/01/2022;11,2;14,1;2022-01-05 13:45:00;8,6;2022-01-05 23:35:00;68;99;2022-01-05 06:10:00;42;2022-01-05 13:47:00;1005,9;1010,3;2022-01-05 23:30:00;1000,4;2022-01-05 00:41:00;7;4,9;2,1;331;9,8;2022-01-05 01:24:00;86;2022-01-05 01:24:00
X4;06/01/2022;8,7;13,1;2022-01-06 15:05:00;6;2022-01-06 08:05:00;39;55;2022-01-06 01:08:00;25;2022-01-06 15:01:00;1013,1;1017;2022-01-06 23:51:00;1009,8;2022-01-06 00:38:00;0;10;1,7;298;7,4;2022-01-06 12:58:00;329;2022-01-06 12:58:00
X4;07/01/2022;9,1;13,3;2022-01-07 13:55:00;5,7;2022-01-07 07:24:00;44;52;2022-01-07 23:28:00;29;2022-01-07 12:31:00;1019;1020,7;2022-01-07 23:32:00;1016,9;2022-01-07 00:44:00;0;9,7;1,4;263;6;2022-01-07 21:31:00;280;2022-01-07 21:31:00
X4;08/01/2022;10,5;14,4;2022-01-08 15:03:00;8,3;2022-01-08 08:39:00;51;65;2022-01-08 16:31:00;40;2022-01-08 23:56:00;1017,1;1020,5;2022-01-08 09:53:00;1011,3;2022-01-08 23:59:00;0;6,1;2,2;279;12,4;2022-01-08 07:19:00;328;2022-01-08 07:19:00
X4;09/01/2022;12,6;15,9;2022-01-09 15:02:00;10,2;2022-01-09 07:34:00;54;70;2022-01-09 23:59:00;40;2022-01-09 00:30:00;1009,2;1011,6;2022-01-09 00:30:00;1006,9;2022-01-09 23:59:00;0;8,7;3,2;315;16;2022-01-09 11:00:00;292;2022-01-09 11:00:00
X4;10/01/2022;11,1;12,3;2022-01-10 02:32:00;9,7;2022-01-10 13:36:00;77;99;2022-01-10 13:32:00;70;2022-01-10 00:02:00;1011,1;1017;2022-01-10 23:47:00;1006,3;2022-01-10 04:43:00;0;0,7;1,6;54;7,5;2022-01-10 11:25:00;88;2022-01-10 11:25:00
X4;11/01/2022;12;16,8;2022-01-11 14:02:00;8,6;2022-01-11 06:00:00;72;87;2022-01-11 05:13:00;31;2022-01-11 13:48:00;1019,2;1022,8;2022-01-11 23:23:00;1016,8;2022-01-11 00:52:00;0;9,8;1,1;126;6,7;2022-01-11 22:27:00;147;2022-01-11 22:27:00
X4;12/01/2022;10,8;12,8;2022-01-12 13:16:00;8,3;2022-01-12 23:47:00;60;70;2022-01-12 07:30:00;49;2022-01-12 15:03:00;1025,8;1029,4;2022-01-12 23:58:00;1022,5;2022-01-12 00:08:00;0;8,5;1,5;67;5,4;2022-01-12 14:02:00;105;2022-01-12 14:02:00
X4;13/01/2022;9,4;12,7;2022-01-13 13:12:00;6,5;2022-01-13 05:02:00;59;75;2022-01-13 05:04:00;40;2022-01-13 15:05:00;1030,3;1031,8;2022-01-13 19:00:00;1029,1;2022-01-13 00:50:00;0;10;1;59;3,9;2022-01-13 20:51:00;351;2022-01-13 20:51:00
X4;14/01/2022;10,1;13,6;2022-01-14 13:33:00;6,6;2022-01-14 04:38:00;52;70;2022-01-14 20:19:00;33;2022-01-14 10:40:00;1029,1;1031,4;2022-01-14 02:30:00;1025,8;2022-01-14 23:59:00;0;8,9;1;3;4,2;2022-01-14 14:14:00;125;2022-01-14 14:14:00
X4;15/01/2022;9,9;14,9;2022-01-15 13:47:00;7,2;2022-01-15 07:22:00;39;66;2022-01-15 00:00:00;23;2022-01-15 13:42:00;1023,1;1026;2022-01-15 00:00:00;1021,1;2022-01-15 14:16:00;0;10,5;2,4;276;9,3;2022-01-15 08:00:00;287;2022-01-15 08:00:00
X4;16/01/2022;9,6;13,7;2022-01-16 13:38:00;5,6;2022-01-16 06:34:00;42;54;2022-01-16 07:17:00;27;2022-01-16 12:31:00;1025,1;1027,7;2022-01-16 23:30:00;1021,7;2022-01-16 00:40:00;0;10,4;0,8;198;3,6;2022-01-16 21:38:00;310;2022-01-16 21:38:00
X4;17/01/2022;10,7;16,9;2022-01-17 14:06:00;6,7;2022-01-17 04:10:00;36;54;2022-01-17 17:08:00;17;2022-01-17 14:08:00;1027,2;1029,8;2022-01-17 10:16:00;1026;2022-01-17 23:58:00;0;10,6;1,4;267;6,6;2022-01-17 18:18:00;308;2022-01-17 18:18:00
X4;18/01/2022;10,1;12,9;2022-01-18 12:02:00;7,2;2022-01-18 06:50:00;58;75;2022-01-18 21:32:00;33;2022-01-18 10:14:00;1026,9;1029,2;2022-01-18 22:34:00;1025,1;2022-01-18 04:35:00;0;9,3;1,4;42;6,4;2022-01-18 15:15:00;85;2022-01-18 15:15:00
X4;19/01/2022;10,1;12,9;2022-01-19 13:55:00;7,6;2022-01-19 07:07:00;69;77;2022-01-19 07:02:00;55;2022-01-19 13:55:00;1027;1029,1;2022-01-19 10:00:00;1025,1;2022-01-19 23:57:00;0;7,1;1;7;4,3;2022-01-19 15:35:00;207;2022-01-19 15:35:00
