EMA;DATA;TM;TX;Data Extrem TX;TN;Data Extrem TN;HRM;HRX;Data Extrem HRX;HRN;Data Extrem HRN;PM;PX;Data Extrem PX;PN;Data Extrem PN;PPT;RS24h;VVM10;DVM10;VVX10;Data Extrem VVX10;DVVX10
X4;01/01/2021;8,9;10,3;2021-01-01 00:00:00;7;2021-01-01 23:54:00;61;66;2021-01-01 16:31:00;53;2021-01-01 23:00:00;1001;1002,5;2021-01-01 00:03:00;999,6;2021-01-01 13:01:00;0,1;1,5;1,9;332;11,5;2021-01-01 22:28:00;306
X4;02/01/2021;7,4;10,7;2021-01-02 13:47:00;4,3;2021-01-02 07:04:00;55;65;2021-01-02 07:06:00;43;2021-01-02 14:04:00;1001,9;1004,4;2021-01-02 23:44:00;1000,5;2021-01-02 06:30:00;0;7;1,7;318;7,2;2021-01-02 01:46:00;311
X4;03/01/2021;6,7;9,8;2021-01-03 13:50:00;4,4;2021-01-03 08:06:00;44;62;2021-01-03 23:33:00;31;2021-01-03 13:13:00;1005,8;1007,3;2021-01-03 09:57:00;1004,2;2021-01-03 00:46:00;0;8,5;2,1;307;10,6;2021-01-03 04:19:00;310
X4;04/01/2021;7;11;2021-01-04 13:44:00;4,5;2021-01-04 08:21:00;53;65;2021-01-04 08:17:00;33;2021-01-04 14:25:00;1005,2;1006,7;2021-01-04 08:24:00;1002,7;2021-01-04 13:43:00;0;8,9;2,4;320;8,9;2021-01-04 11:21:00;285
X4;05/01/2021;6,2;9,4;2021-01-05 10:46:00;4,1;2021-01-05 05:15:00;59;71;2021-01-05 18:15:00;45;2021-01-05 10:46:00;1006,4;1008,3;2021-01-05 22:03:00;1004,7;2021-01-05 04:32:00;0;7,4;1,6;307;6,1;2021-01-05 02:14:00;321
X4;06/01/2021;6,5;9,9;2021-01-06 13:25:00;3,6;2021-01-06 07:26:00;61;68;2021-01-06 23:07:00;50;2021-01-06 10:30:00;1010;1012;2021-01-06 21:49:00;1008;2021-01-06 00:00:00;0;7,4;1,3;4;5,7;2021-01-06 23:47:00;3
X4;07/01/2021;6,5;7,7;2021-01-07 15:00:00;5,2;2021-01-07 07:42:00;64;84;2021-01-07 04:41:00;52;2021-01-07 12:45:00;1009,8;1011;2021-01-07 09:00:00;1007,7;2021-01-07 14:10:00;1,6;3,3;1,5;28;5,7;2021-01-07 12:00:00;96
X4;08/01/2021;6;8,3;2021-01-08 13:03:00;3,7;2021-01-08 07:28:00;53;67;2021-01-08 07:56:00;35;2021-01-08 23:00:00;1008,7;1010,9;2021-01-08 10:43:00;1005,7;2021-01-08 23:59:00;0;5,5;1,3;9;8,6;2021-01-08 23:17:00;59
X4;09/01/2021;6,8;8,1;2021-01-09 20:05:00;4,4;2021-01-09 03:31:00;72;96;2021-01-09 09:30:00;41;2021-01-09 00:48:00;1002,9;1005,8;2021-01-09 00:00:00;1000,3;2021-01-09 13:29:00;20;1,2;4,2;51;14,9;2021-01-09 17:28:00;53
X4;10/01/2021;7,5;8,5;2021-01-10 15:43:00;6,1;2021-01-10 23:47:00;68;80;2021-01-10 12:13:00;57;2021-01-10 09:12:00;1007,1;1012,6;2021-01-10 23:21:00;1001,8;2021-01-10 00:30:00;5,2;1,3;2,1;24;12,1;2021-01-10 02:41:00;42
