Dia,Hora,Density
01/01/2021,0,1
01/01/2021,1,1
01/01/2021,2,0
01/01/2021,3,0
01/01/2021,4,0
01/01/2021,5,0
01/01/2021,6,0
01/01/2021,7,0
01/01/2021,8,0
01/01/2021,9,0
01/01/2021,10,0
01/01/2021,11,1
01/01/2021,12,1
01/01/2021,13,1
01/01/2021,14,1
01/01/2021,15,1
01/01/2021,16,1
01/01/2021,17,1
01/01/2021,18,1
01/01/2021,19,1
01/01/2021,20,1
01/01/2021,21,1
01/01/2021,22,0
01/01/2021,23,0
02/01/2021,0,0
02/01/2021,1,0
02/01/2021,2,0
02/01/2021,3,0
02/01/2021,4,0
02/01/2021,5,0
02/01/2021,6,0
02/01/2021,7,0
02/01/2021,8,0
02/01/2021,9,1
02/01/2021,10,1
02/01/2021,11,1
02/01/2021,12,1
02/01/2021,13,1
02/01/2021,14,1
02/01/2021,15,1
02/01/2021,16,1
02/01/2021,17,1
02/01/2021,18,1
02/01/2021,19,1
02/01/2021,20,1
02/01/2021,21,1
02/01/2021,22,0
02/01/2021,23,0
03/01/2021,0,0
03/01/2021,1,0
03/01/2021,2,0
03/01/2021,3,0
03/01/2021,4,0
03/01/2021,5,0
03/01/2021,6,0
03/01/2021,7,0
03/01/2021,8,0
03/01/2021,9,0
03/01/2021,10,1
03/01/2021,11,1
03/01/2021,12,1
03/01/2021,13,1
03/01/2021,14,1
03/01/2021,15,1
03/01/2021,16,1
03/01/2021,17,1
03/01/2021,18,1
03/01/2021,19,1
03/01/2021,20,1
03/01/2021,21,1
03/01/2021,22,0
03/01/2021,23,0
04/01/2021,0,0
04/01/2021,1,0
04/01/2021,2,0
04/01/2021,3,0
04/01/2021,4,0
04/01/2021,5,0
04/01/2021,6,0
04/01/2021,7,1
04/01/2021,8,1
04/01/2021,9,1
04/01/2021,10,1
04/01/2021,11,2
04/01/2021,12,2
04/01/2021,13,2
04/01/2021,14,1
04/01/2021,15,1
04/01/2021,16,1
04/01/2021,17,1
04/01/2021,18,2
04/01/2021,19,1
04/01/2021,20,1
04/01/2021,21,1
04/01/2021,22,0
04/01/2021,23,0
05/01/2021,0,0
05/01/2021,1,0
05/01/2021,2,0
05/01/2021,3,0
05/01/2021,4,0
05/01/2021,5,0
05/01/2021,6,0
05/01/2021,7,1
05/01/2021,8,1
05/01/2021,9,1
05/01/2021,10,1
05/01/2021,11,2
05/01/2021,12,2
05/01/2021,13,2
05/01/2021,14,1
05/01/2021,15,1
05/01/2021,16,1
05/01/2021,17,1
05/01/2021,18,1
05/01/2021,19,1
05/01/2021,20,1
05/01/2021,21,1
05/01/2021,22,1
05/01/2021,23,0
06/01/2021,0,0
06/01/2021,1,0
06/01/2021,2,0
06/01/2021,3,0
06/01/2021,4,0
06/01/2021,5,0
06/01/2021,6,0
06/01/2021,7,0
06/01/2021,8,0
06/01/2021,9,0
06/01/2021,10,1
06/01/2021,11,1
06/01/2021,12,1
06/01/2021,13,1
06/01/2021,14,1
06/01/2021,15,1
06/01/2021,16,1
06/01/2021,17,1
06/01/2021,18,1
06/01/2021,19,1
06/01/2021,20,1
06/01/2021,21,1
06/01/2021,22,0
06/01/2021,23,0
07/01/2021,0,0
07/01/2021,1,0
07/01/2021,2,0
07/01/2021,3,0
07/01/2021,4,0
07/01/2021,5,0
07/01/2021,6,1
07/01/2021,7,1
07/01/2021,8,1
07/01/2021,9,1
07/01/2021,10,1
07/01/2021,11,1
07/01/2021,12,1
07/01/2021,13,1
07/01/2021,14,1
07/01/2021,15,1
07/01/2021,16,1
07/01/2021,17,1
07/01/2021,18,1
07/01/2021,19,1
07/01/2021,20,0
07/01/2021,21,0
07/01/2021,22,0
07/01/2021,23,0
08/01/2021,0,0
08/01/2021,1,0
08/01/2021,2,0
08/01/2021,3,0
08/01/2021,4,0
08/01/2021,5,0
08/01/2021,6,1
08/01/2021,7,1
08/01/2021,8,1
08/01/2021,9,1
08/01/2021,10,1
08/01/2021,11,1
08/01/2021,12,1
08/01/2021,13,1
08/01/2021,14,1
08/01/2021,15,1
08/01/2021,16,1
08/01/2021,17,1
08/01/2021,18,1
08/01/2021,19,1
08/01/2021,20,1
08/01/2021,21,1
08/01/2021,22,0
08/01/2021,23,0
09/01/2021,0,0
09/01/2021,1,0
09/01/2021,2,0
09/01/2021,3,0
09/01/2021,4,0
09/01/2021,5,0
09/01/2021,6,0
09/01/2021,7,0
09/01/2021,8,1
09/01/2021,9,1
09/01/2021,10,1
09/01/2021,11,1
09/01/2021,12,1
09/01/2021,13,1
09/01/2021,14,1
09/01/2021,15,1
09/01/2021,16,1
09/01/2021,17,1
09/01/2021,18,1
09/01/2021,19,1
09/01/2021,20,1
09/01/2021,21,1
09/01/2021,22,0
09/01/2021,23,0
10/01/2021,0,0
10/01/2021,1,0
10/01/2021,2,0
10/01/2021,3,0
10/01/2021,4,0
10/01/2021,5,0
10/01/2021,6,0
10/01/2021,7,0
10/01/2021,8,0
10/01/2021,9,0
10/01/2021,10,1
10/01/2021,11,1
10/01/2021,12,1
10/01/2021,13,1
10/01/2021,14,1
10/01/2021,15,1
10/01/2021,16,1
10/01/2021,17,1
10/01/2021,18,1
10/01/2021,19,1
10/01/2021,20,1
10/01/2021,21,1
10/01/2021,22,0
10/01/2021,23,0
11/01/2021,0,0
11/01/2021,1,0
11/01/2021,2,0
11/01/2021,3,0
11/01/2021,4,0
11/01/2021,5,0
11/01/2021,6,1
11/01/2021,7,1
11/01/2021,8,2
11/01/2021,9,2
11/01/2021,10,1
11/01/2021,11,1
11/01/2021,12,1
11/01/2021,13,1
11/01/2021,14,1
11/01/2021,15,1
11/01/2021,16,1
11/01/2021,17,1
11/01/2021,18,1
11/01/2021,19,1
11/01/2021,20,1
11/01/2021,21,1
11/01/2021,22,0
11/01/2021,23,0
12/01/2021,0,0
12/01/2021,1,0
12/01/2021,2,0
12/01/2021,3,0
12/01/2021,4,0
12/01/2021,5,0
12/01/2021,6,1
12/01/2021,7,1
12/01/2021,8,2
12/01/2021,9,2
12/01/2021,10,1
12/01/2021,11,1
12/01/2021,12,1
12/01/2021,13,1
12/01/2021,14,1
12/01/2021,15,1
12/01/2021,16,1
12/01/2021,17,1
12/01/2021,18,1
12/01/2021,19,1
12/01/2021,20,1
12/01/2021,21,1
12/01/2021,22,0
12/01/2021,23,0
13/01/2021,0,0
13/01/2021,1,0
13/01/2021,2,0
13/01/2021,3,0
13/01/2021,4,0
13/01/2021,5,0
13/01/2021,6,1
13/01/2021,7,1
13/01/2021,8,2
13/01/2021,9,2
13/01/2021,10,1
13/01/2021,11,1
13/01/2021,12,1
13/01/2021,13,1
13/01/2021,14,1
13/01/2021,15,1
13/01/2021,16,1
13/01/2021,17,1
13/01/2021,18,1
13/01/2021,19,1
13/01/2021,20,1
13/01/2021,21,1
13/01/2021,22,0
13/01/2021,23,0
14/01/2021,0,0
14/01/2021,1,0
14/01/2021,2,0
14/01/2021,3,0
14/01/2021,4,0
14/01/2021,5,0
14/01/2021,6,1
14/01/2021,7,1
14/01/2021,8,2
14/01/2021,9,2
14/01/2021,10,1
14/01/2021,11,1
14/01/2021,12,1
14/01/2021,13,1
14/01/2021,14,1
14/01/2021,15,1
14/01/2021,16,1
14/01/2021,17,1
14/01/2021,18,1
14/01/2021,19,1
14/01/2021,20,1
14/01/2021,21,1
14/01/2021,22,1
14/01/2021,23,0
15/01/2021,0,0
15/01/2021,1,0
15/01/2021,2,0
15/01/2021,3,0
15/01/2021,4,0
15/01/2021,5,0
15/01/2021,6,1
15/01/2021,7,1
15/01/2021,8,2
15/01/2021,9,1
15/01/2021,10,1
15/01/2021,11,1
15/01/2021,12,2
15/01/2021,13,1
15/01/2021,14,1
15/01/2021,15,1
15/01/2021,16,1
15/01/2021,17,2
15/01/2021,18,1
15/01/2021,19,1
15/01/2021,20,1
15/01/2021,21,1
15/01/2021,22,1
15/01/2021,23,0
16/01/2021,0,0
16/01/2021,1,0
16/01/2021,2,0
16/01/2021,3,0
16/01/2021,4,0
16/01/2021,5,0
16/01/2021,6,0
16/01/2021,7,0
16/01/2021,8,1
16/01/2021,9,1
16/01/2021,10,1
16/01/2021,11,1
16/01/2021,12,1
16/01/2021,13,1
16/01/2021,14,1
16/01/2021,15,1
16/01/2021,16,1
16/01/2021,17,1
16/01/2021,18,1
16/01/2021,19,1
16/01/2021,20,1
16/01/2021,21,1
16/01/2021,22,0
16/01/2021,23,0
17/01/2021,0,0
17/01/2021,1,0
17/01/2021,2,0
17/01/2021,3,0
17/01/2021,4,0
17/01/2021,5,0
17/01/2021,6,0
17/01/2021,7,0
17/01/2021,8,0
17/01/2021,9,0
17/01/2021,10,1
17/01/2021,11,1
17/01/2021,12,1
17/01/2021,13,1
17/01/2021,14,1
17/01/2021,15,1
17/01/2021,16,1
17/01/2021,17,1
17/01/2021,18,1
17/01/2021,19,1
17/01/2021,20,1
17/01/2021,21,1
17/01/2021,22,0
17/01/2021,23,0
18/01/2021,0,0
18/01/2021,1,0
18/01/2021,2,0
18/01/2021,3,0
18/01/2021,4,0
18/01/2021,5,0
18/01/2021,6,1
18/01/2021,7,1
18/01/2021,8,2
18/01/2021,9,2
18/01/2021,10,1
18/01/2021,11,1
18/01/2021,12,1
18/01/2021,13,1
18/01/2021,14,1
18/01/2021,15,1
18/01/2021,16,1
18/01/2021,17,1
18/01/2021,18,1
18/01/2021,19,1
18/01/2021,20,1
18/01/2021,21,1
18/01/2021,22,0
18/01/2021,23,0
19/01/2021,0,0
19/01/2021,1,0
19/01/2021,2,0
19/01/2021,3,0
19/01/2021,4,0
19/01/2021,5,0
19/01/2021,6,1
19/01/2021,7,1
19/01/2021,8,2
19/01/2021,9,2
19/01/2021,10,1
19/01/2021,11,1
19/01/2021,12,1
19/01/2021,13,1
19/01/2021,14,1
19/01/2021,15,1
19/01/2021,16,1
19/01/2021,17,1
19/01/2021,18,1
19/01/2021,19,1
19/01/2021,20,1
19/01/2021,21,1
19/01/2021,22,0
19/01/2021,23,0
20/01/2021,0,0
20/01/2021,1,0
20/01/2021,2,0
20/01/2021,3,0
20/01/2021,4,0
20/01/2021,5,0
20/01/2021,6,1
20/01/2021,7,1
20/01/2021,8,2
20/01/2021,9,1
20/01/2021,10,1
20/01/2021,11,1
20/01/2021,12,1
20/01/2021,13,1
20/01/2021,14,1
20/01/2021,15,1
20/01/2021,16,1
20/01/2021,17,1
20/01/2021,18,1
20/01/2021,19,1
20/01/2021,20,1
20/01/2021,21,1
20/01/2021,22,0
20/01/2021,23,0
21/01/2021,0,0
21/01/2021,1,0
21/01/2021,2,0
21/01/2021,3,0
21/01/2021,4,0
21/01/2021,5,0
21/01/2021,6,1
21/01/2021,7,1
21/01/2021,8,2
21/01/2021,9,2
21/01/2021,10,1
21/01/2021,11,1
21/01/2021,12,1
21/01/2021,13,1
21/01/2021,14,1
21/01/2021,15,1
21/01/2021,16,1
21/01/2021,17,2
21/01/2021,18,2
21/01/2021,19,1
21/01/2021,20,1
21/01/2021,21,1
21/01/2021,22,0
21/01/2021,23,0
22/01/2021,0,0
22/01/2021,1,0
22/01/2021,2,0
22/01/2021,3,0
22/01/2021,4,0
22/01/2021,5,0
22/01/2021,6,1
22/01/2021,7,1
22/01/2021,8,2
22/01/2021,9,2
22/01/2021,10,1
22/01/2021,11,1
22/01/2021,12,1
22/01/2021,13,1
22/01/2021,14,1
22/01/2021,15,1
22/01/2021,16,1
22/01/2021,17,1
22/01/2021,18,1
22/01/2021,19,1
22/01/2021,20,1
22/01/2021,21,1
22/01/2021,22,1
22/01/2021,23,0
23/01/2021,0,0
23/01/2021,1,0
23/01/2021,2,0
23/01/2021,3,0
23/01/2021,4,0
23/01/2021,5,0
23/01/2021,6,0
23/01/2021,7,0
23/01/2021,8,1
23/01/2021,9,1
23/01/2021,10,1
23/01/2021,11,1
23/01/2021,12,1
23/01/2021,13,1
23/01/2021,14,1
23/01/2021,15,1
23/01/2021,16,1
23/01/2021,17,1
23/01/2021,18,1
23/01/2021,19,1
23/01/2021,20,1
23/01/2021,21,1
23/01/2021,22,0
23/01/2021,23,0
24/01/2021,0,0
24/01/2021,1,0
24/01/2021,2,0
24/01/2021,3,0
24/01/2021,4,0
24/01/2021,5,0
24/01/2021,6,0
24/01/2021,7,0
24/01/2021,8,0
24/01/2021,9,0
24/01/2021,10,1
24/01/2021,11,1
24/01/2021,12,1
24/01/2021,13,1
24/01/2021,14,1
24/01/2021,15,1
24/01/2021,16,1
24/01/2021,17,1
24/01/2021,18,1
24/01/2021,19,1
24/01/2021,20,1
24/01/2021,21,1
24/01/2021,22,0
24/01/2021,23,0
25/01/2021,0,0
25/01/2021,1,0
25/01/2021,2,0
25/01/2021,3,0
25/01/2021,4,0
25/01/2021,5,0
25/01/2021,6,1
25/01/2021,7,1
25/01/2021,8,2
25/01/2021,9,2
25/01/2021,10,1
25/01/2021,11,1
25/01/2021,12,1
25/01/2021,13,1
25/01/2021,14,1
25/01/2021,15,1
25/01/2021,16,1
25/01/2021,17,1
25/01/2021,18,1
25/01/2021,19,1
25/01/2021,20,1
25/01/2021,21,1
25/01/2021,22,0
25/01/2021,23,0
26/01/2021,0,0
26/01/2021,1,0
26/01/2021,2,0
26/01/2021,3,0
26/01/2021,4,0
26/01/2021,5,0
26/01/2021,6,1
26/01/2021,7,1
26/01/2021,8,2
26/01/2021,9,1
26/01/2021,10,1
26/01/2021,11,1
26/01/2021,12,1
26/01/2021,13,1
26/01/2021,14,1
26/01/2021,15,1
26/01/2021,16,1
26/01/2021,17,1
26/01/2021,18,1
26/01/2021,19,1
26/01/2021,20,1
26/01/2021,21,1
26/01/2021,22,0
26/01/2021,23,0
27/01/2021,0,0
27/01/2021,1,0
27/01/2021,2,0
27/01/2021,3,0
27/01/2021,4,0
27/01/2021,5,0
27/01/2021,6,1
27/01/2021,7,1
27/01/2021,8,2
27/01/2021,9,2
27/01/2021,10,1
27/01/2021,11,2
27/01/2021,12,1
27/01/2021,13,1
27/01/2021,14,1
27/01/2021,15,1
27/01/2021,16,1
27/01/2021,17,2
27/01/2021,18,1
27/01/2021,19,1
27/01/2021,20,1
27/01/2021,21,1
27/01/2021,22,0
27/01/2021,23,0
28/01/2021,0,0
28/01/2021,1,0
28/01/2021,2,0
28/01/2021,3,0
28/01/2021,4,0
28/01/2021,5,0
28/01/2021,6,1
28/01/2021,7,1
28/01/2021,8,2
28/01/2021,9,2
28/01/2021,10,1
28/01/2021,11,2
28/01/2021,12,1
28/01/2021,13,1
28/01/2021,14,1
28/01/2021,15,1
28/01/2021,16,1
28/01/2021,17,2
28/01/2021,18,1
28/01/2021,19,1
28/01/2021,20,1
28/01/2021,21,1
28/01/2021,22,0
28/01/2021,23,0
29/01/2021,0,0
29/01/2021,1,0
29/01/2021,2,0
29/01/2021,3,0
29/01/2021,4,0
29/01/2021,5,0
29/01/2021,6,1
29/01/2021,7,1
29/01/2021,8,2
29/01/2021,9,1
29/01/2021,10,1
29/01/2021,11,1
29/01/2021,12,2
29/01/2021,13,1
29/01/2021,14,1
29/01/2021,15,1
29/01/2021,16,1
29/01/2021,17,2
29/01/2021,18,1
29/01/2021,19,1
29/01/2021,20,1
29/01/2021,21,1
29/01/2021,22,1
29/01/2021,23,0
30/01/2021,0,0
30/01/2021,1,0
30/01/2021,2,0
30/01/2021,3,0
30/01/2021,4,0
30/01/2021,5,0
30/01/2021,6,0
30/01/2021,7,0
30/01/2021,8,1
30/01/2021,9,1
30/01/2021,10,1
30/01/2021,11,1
30/01/2021,12,1
30/01/2021,13,1
30/01/2021,14,1
30/01/2021,15,1
30/01/2021,16,1
30/01/2021,17,1
30/01/2021,18,1
30/01/2021,19,1
30/01/2021,20,1
30/01/2021,21,1
30/01/2021,22,0
30/01/2021,23,0
31/01/2021,0,0
31/01/2021,1,0
31/01/2021,2,0
31/01/2021,3,0
31/01/2021,4,0
31/01/2021,5,0
31/01/2021,6,0
31/01/2021,7,0
31/01/2021,8,0
31/01/2021,9,1
31/01/2021,10,1
31/01/2021,11,1
31/01/2021,12,1
31/01/2021,13,1
31/01/2021,14,1
31/01/2021,15,1
31/01/2021,16,1
31/01/2021,17,1
31/01/2021,18,1
31/01/2021,19,1
31/01/2021,20,1
31/01/2021,21,1
31/01/2021,22,0
31/01/2021,23,0
01/02/2021,0,0
01/02/2021,1,0
01/02/2021,2,0
01/02/2021,3,0
01/02/2021,4,0
01/02/2021,5,0
01/02/2021,6,1
01/02/2021,7,1
01/02/2021,8,2
01/02/2021,9,2
01/02/2021,10,2
01/02/2021,11,2
01/02/2021,12,2
01/02/2021,13,1
01/02/2021,14,1
01/02/2021,15,1
01/02/2021,16,1
01/02/2021,17,2
01/02/2021,18,2
01/02/2021,19,1
01/02/2021,20,1
01/02/2021,21,1
01/02/2021,22,0
01/02/2021,23,0
02/02/2021,0,0
02/02/2021,1,0
02/02/2021,2,0
02/02/2021,3,0
02/02/2021,4,0
02/02/2021,5,0
02/02/2021,6,1
02/02/2021,7,1
02/02/2021,8,2
02/02/2021,9,2
02/02/2021,10,1
02/02/2021,11,1
02/02/2021,12,1
02/02/2021,13,1
02/02/2021,14,1
02/02/2021,15,1
02/02/2021,16,1
02/02/2021,17,2
02/02/2021,18,1
02/02/2021,19,1
02/02/2021,20,1
02/02/2021,21,1
02/02/2021,22,0
02/02/2021,23,0
03/02/2021,0,0
03/02/2021,1,0
03/02/2021,2,0
03/02/2021,3,0
03/02/2021,4,0
03/02/2021,5,0
03/02/2021,6,1
03/02/2021,7,1
03/02/2021,8,2
03/02/2021,9,2
03/02/2021,10,1
03/02/2021,11,1
03/02/2021,12,1
03/02/2021,13,1
03/02/2021,14,1
03/02/2021,15,1
03/02/2021,16,1
03/02/2021,17,1
03/02/2021,18,1
03/02/2021,19,1
03/02/2021,20,1
03/02/2021,21,1
03/02/2021,22,0
03/02/2021,23,0
04/02/2021,0,0
04/02/2021,1,0
04/02/2021,2,0
04/02/2021,3,0
04/02/2021,4,0
04/02/2021,5,0
04/02/2021,6,1
04/02/2021,7,1
04/02/2021,8,2
04/02/2021,9,2
04/02/2021,10,1
04/02/2021,11,1
04/02/2021,12,1
04/02/2021,13,1
04/02/2021,14,1
04/02/2021,15,1
04/02/2021,16,1
04/02/2021,17,2
04/02/2021,18,1
04/02/2021,19,1
04/02/2021,20,1
04/02/2021,21,1
04/02/2021,22,0
04/02/2021,23,0
05/02/2021,0,0
05/02/2021,1,0
05/02/2021,2,0
05/02/2021,3,0
05/02/2021,4,0
05/02/2021,5,0
05/02/2021,6,1
05/02/2021,7,1
05/02/2021,8,2
05/02/2021,9,1
05/02/2021,10,1
05/02/2021,11,1
05/02/2021,12,2
05/02/2021,13,2
05/02/2021,14,1
05/02/2021,15,1
05/02/2021,16,1
05/02/2021,17,2
05/02/2021,18,1
05/02/2021,19,1
05/02/2021,20,1
05/02/2021,21,1
05/02/2021,22,1
05/02/2021,23,0
06/02/2021,0,0
06/02/2021,1,0
06/02/2021,2,0
06/02/2021,3,0
06/02/2021,4,0
06/02/2021,5,0
06/02/2021,6,0
06/02/2021,7,0
06/02/2021,8,1
06/02/2021,9,1
06/02/2021,10,1
06/02/2021,11,1
06/02/2021,12,1
06/02/2021,13,1
06/02/2021,14,1
06/02/2021,15,1
06/02/2021,16,1
06/02/2021,17,1
06/02/2021,18,1
06/02/2021,19,1
06/02/2021,20,1
06/02/2021,21,1
06/02/2021,22,0
06/02/2021,23,0
07/02/2021,0,0
07/02/2021,1,0
07/02/2021,2,0
07/02/2021,3,0
07/02/2021,4,0
07/02/2021,5,0
07/02/2021,6,0
07/02/2021,7,0
07/02/2021,8,0
07/02/2021,9,1
07/02/2021,10,1
07/02/2021,11,1
07/02/2021,12,1
07/02/2021,13,1
07/02/2021,14,1
07/02/2021,15,1
07/02/2021,16,1
07/02/2021,17,1
07/02/2021,18,1
07/02/2021,19,1
07/02/2021,20,1
07/02/2021,21,1
